Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	6	_none_	181	2	+0.009	3	2	0	0	1	2	+124.188	+0.008	-0.001	+1.984	-174.312	
wt	_seg_0_:6	_none_	36	0	+0.009	0	1	0	0	1	1	+120.048	+0.197	-0.001	+5.308	-9.548	
wt	_seg_1_:6	_none_	136	0	+0.009	0	2	0	0	1	1	+180.072	-0.016	-0.001	+0.803	+50.567	
wt	7	_none_	181	2	+0.001	0	2	0	0	1	1	+284.324	+0.037	+0.001	+8.064	-64.797	
wt	_seg_0_:7	_none_	88	0	+0.001	0	0	0	0	1	1	+245.553	+0.033	-0.001	+3.500	-49.344	
wt	_seg_1_:7	_none_	84	0	+0.001	1	3	0	0	1	1	+284.324	+0.028	-0.001	+1.580	-28.467	
wt	11	_none_	181	3	+0.237	0	2	0	0	1	1	+292.009	-0.007	-0.001	+0.910	+65.152	
wt	_seg_0_:11	_none_	48	0	+0.237	0	1	0	0	1	1	+180.072	+0.041	-0.001	+0.793	+0.864	
wt	_seg_1_:11	_none_	36	0	+0.237	0	0	0	0	1	1	+166.220	+0.233	-0.001	+6.788	-7.667	
wt	_seg_2_:11	_none_	84	0	+0.237	0	0	0	0	1	1	+270.108	+10.110	+0.089	+0.568	+16.581	
wt	22	normal;	181	3	+0.046	3	3	0	0	1	2	+372.563	+0.018	-0.001	+0.909	-2.641	
wt	_seg_0_:22	normal;	96	0	+0.046	3	0	0	0	1	1	+360.144	-0.003	-0.001	+0.835	+30.816	
wt	_seg_1_:22	normal;	36	0	+0.046	0	0	0	0	1	1	+196.442	+0.090	-0.001	+1.959	-3.718	
wt	_seg_2_:22	normal;	36	0	+0.046	1	0	0	0	1	0	+270.108	+12.055	+0.153	+0.665	+3.738	
wt	23	_none_	181	3	+0.094	4	2	0	0	1	2	+154.347	-0.005	-0.001	+0.894	+98.267	
wt	_seg_0_:23	_none_	36	0	+0.094	0	1	0	0	1	1	+166.220	-0.070	-0.001	+1.694	+19.440	
wt	_seg_1_:23	_none_	48	0	+0.094	0	1	0	0	1	1	+169.480	+0.033	-0.001	+0.722	+4.137	
