Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_0_:4	normal;	176	0	+0.000	1	1	0	0	1	0	+10804.322	-0.011	-0.001	+1.269	+152.737	
wt	6	_none_	181	1	+0.244	0	1	0	0	1	1	+10804.322	-0.013	-0.001	+3.481	+173.190	
wt	_seg_0_:6	_none_	176	0	+0.244	0	1	0	0	1	1	+10804.322	-0.012	-0.001	+2.249	+142.515	
wt	7	_none_	181	3	+0.000	0	1	0	0	1	1	+10804.322	+0.276	-0.001	+0.350	+38.085	
wt	_seg_0_:7	_none_	64	0	+0.000	1	2	0	0	1	0	+3841.537	-0.189	-0.001	+0.501	+3.112	
wt	_seg_1_:7	_none_	36	0	+0.000	0	0	0	0	1	0	+2160.864	+6.495	-0.001	+0.635	+7.354	
wt	_seg_2_:7	_none_	68	0	+0.000	2	1	0	0	1	0	+4321.729	+0.076	-0.001	+4.116	-20.086	
wt	11	_none_	181	3	+0.052	1	3	0	0	1	1	+10804.322	+0.003	-0.001	+0.819	-44.941	
wt	_seg_0_:11	_none_	40	0	+0.052	0	0	0	0	1	0	+2400.960	-0.133	-0.001	+4.059	+20.463	
wt	_seg_1_:11	_none_	40	0	+0.052	0	0	0	0	1	0	+2400.960	+0.119	-0.001	+0.611	+14.203	
wt	_seg_2_:11	_none_	88	0	+0.052	1	0	0	0	1	0	+5402.161	+0.245	-0.001	+0.464	+21.000	
wt	22	normal;	181	3	+0.000	2	0	0	0	1	0	+10804.322	-0.005	-0.001	+0.766	+116.689	
wt	_seg_0_:22	normal;	60	0	+0.000	0	0	0	0	1	0	+3601.441	-0.030	-0.001	+1.413	+28.992	
wt	_seg_1_:22	normal;	52	0	+0.000	0	0	0	0	1	0	+3241.297	-0.033	-0.001	+0.727	+14.415	
wt	_seg_2_:22	normal;	56	0	+0.000	0	0	0	0	1	0	+3601.441	+0.094	-0.001	+0.858	+4.331	
wt	23	_none_	181	1	+0.055	0	2	0	0	1	0	+10804.322	-0.001	-0.001	+0.784	+51.147	
wt	_seg_0_:23	_none_	176	0	+0.055	2	1	0	0	1	0	+10804.322	-0.005	-0.001	+0.812	+40.651	
wt	27	normal;	181	3	+0.010	0	1	0	0	1	1	+10804.322	+0.005	-0.001	+0.760	-37.932	
wt	_seg_0_:27	normal;	60	0	+0.010	0	2	0	0	1	0	+3601.441	+0.059	-0.001	+1.325	-9.206	
wt	_seg_1_:27	normal;	64	0	+0.010	0	0	0	0	1	0	+3841.537	+0.498	-0.001	+0.378	+13.494	
wt	_seg_2_:27	normal;	44	0	+0.010	0	0	0	0	1	0	+2701.080	+0.173	-0.000	+8.969	-12.240	
wt	29	_none_	181	2	+0.491	0	0	0	0	1	0	+10804.322	+0.017	-0.001	+0.973	+15.143	
wt	_seg_0_:29	_none_	84	0	+0.491	0	0	0	0	1	0	+5402.161	+0.006	-0.001	+1.029	+8.208	
wt	_seg_1_:29	_none_	88	0	+0.491	0	0	0	0	1	0	+5402.161	-0.011	-0.001	+5.399	+236.779	
wt	31	normal;ascus;	178	3	+0.000	2	1	0	0	1	1	+10804.322	-0.013	-0.001	+0.825	+88.334	
wt	_seg_0_:31	normal;ascus;	52	0	+0.000	0	0	0	0	1	0	+3241.297	+0.070	-0.001	+1.841	-10.665	
wt	_seg_1_:31	normal;ascus;	60	0	+0.000	0	1	0	0	1	1	+3601.441	-0.566	-0.001	+0.355	+1.428	
wt	_seg_2_:31	normal;ascus;	52	0	+0.000	0	1	0	0	1	1	+3241.297	+0.681	+0.047	+24.448	-3.756	
wt	32	normal;ascus;	206	2	+0.000	4	1	0	0	1	0	+12965.186	+0.024	+0.000	+4.438	-92.377	
wt	_seg_0_:32	normal;ascus;	36	0	+0.000	1	0	0	0	1	0	+2160.864	-0.076	-0.001	+0.819	+8.525	
wt	_seg_1_:32	normal;ascus;	160	0	+0.000	0	1	0	0	1	1	+9603.842	+0.011	-0.001	+0.857	-13.949	
wt	34	normal;	171	1	+0.034	0	1	0	0	1	1	+10804.322	+0.006	-0.001	+0.607	+78.509	
wt	_seg_0_:34	normal;	164	0	+0.034	0	2	0	0	1	1	+10804.322	-0.001	-0.001	+0.718	+55.827	
wt	35	normal;	227	2	+0.000	1	2	0	0	1	1	+14405.762	+0.071	-0.001	+0.409	+47.629	
wt	_seg_0_:35	normal;	112	0	+0.000	3	3	0	0	1	1	+7202.881	-0.044	-0.001	+0.772	+18.470	
wt	_seg_1_:35	normal;	104	0	+0.000	0	1	0	0	1	1	+6482.593	-2.494	-0.003	+0.430	+2.911	
wt	37	normal;	181	2	+0.001	0	1	0	0	1	1	+10804.322	-0.007	-0.001	+3.436	+332.163	
wt	_seg_0_:37	normal;	136	0	+0.001	0	1	0	0	1	1	+8103.241	-0.002	-0.001	+0.692	+67.060	
wt	_seg_1_:37	normal;	36	0	+0.001	0	0	0	0	1	0	+2160.864	-7.475	-0.002	+0.485	+1.301	
wt	38	normal;	347	1	+0.000	0	0	0	0	1	0	+21608.643	+0.007	-0.001	+0.824	-61.708	
wt	_seg_0_:38	normal;	340	0	+0.000	0	0	0	0	1	0	+21608.643	+0.005	-0.001	+0.775	-91.965	
wt	39	ascus;normal;	201	4	+0.000	0	1	0	0	1	1	+12004.802	+0.022	-0.001	+1.058	-4.672	
wt	_seg_0_:39	ascus;normal;	60	0	+0.000	0	0	0	0	1	0	+3601.441	+0.010	-0.001	+0.947	+3.291	
wt	_seg_1_:39	ascus;normal;	40	0	+0.000	2	1	0	0	1	1	+2400.960	-1.332	-0.001	+0.445	+4.151	
wt	_seg_2_:39	ascus;normal;	36	0	+0.000	0	0	0	0	1	0	+2160.864	+1.726	-0.001	+0.553	+7.733	
wt	_seg_3_:39	ascus;normal;	48	0	+0.000	0	3	0	0	1	1	+2881.152	-0.046	-0.001	+0.819	+26.014	
wt	41	normal;	180	1	+0.164	2	1	0	0	1	1	+10804.322	-0.002	-0.001	+0.722	-32.614	
wt	_seg_0_:41	normal;	172	0	+0.164	0	3	0	0	1	1	+10804.322	-0.000	-0.001	+0.762	-20.838	
wt	42	normal;	182	3	+0.026	1	1	0	0	1	1	+11524.610	+0.004	-0.001	+0.869	+11.199	
wt	_seg_0_:42	normal;	36	0	+0.026	0	1	0	0	1	1	+2160.864	-0.030	-0.001	+0.546	+11.155	
wt	_seg_1_:42	normal;	48	0	+0.026	0	0	0	0	1	0	+2881.152	-0.167	-0.001	+0.935	+7.009	
wt	_seg_2_:42	normal;	84	0	+0.026	0	0	0	0	1	0	+5402.161	-0.027	-0.001	+2.923	+79.686	
wt	0	_none_	181	3	+0.008	0	1	0	0	1	1	+10804.322	+0.006	-0.001	+0.821	-11.448	
wt	_seg_0_:0	_none_	36	0	+0.008	0	0	0	0	1	0	+2160.864	-1.797	+0.008	+0.676	+4.313	
wt	_seg_1_:0	_none_	96	0	+0.008	0	1	0	0	1	0	+5762.305	+0.017	-0.001	+0.789	+3.248	
wt	_seg_2_:0	_none_	36	0	+0.008	0	0	0	0	1	0	+2160.864	-0.188	-0.000	+7.324	+19.661	
wt	1	normal;	180	3	+0.000	0	1	0	0	1	1	+10804.322	-0.149	-0.001	+0.233	+0.915	
wt	_seg_0_:1	normal;	84	0	+0.000	0	1	0	0	1	1	+5402.161	-0.070	-0.000	+4.303	+56.987	
wt	_seg_1_:1	normal;	36	0	+0.000	0	0	0	0	1	0	+2160.864	+0.411	-0.001	+0.675	+22.037	
wt	_seg_2_:1	normal;	44	0	+0.000	0	0	0	0	1	0	+2701.080	+0.420	-0.001	+0.829	+9.771	
wt	2	normal;normal;	181	3	+0.266	1	1	0	0	1	1	+10804.322	-0.006	-0.001	+0.947	+39.143	
wt	_seg_0_:2	normal;normal;	44	0	+0.266	1	0	0	0	1	0	+2701.080	+0.006	-0.001	+1.006	+7.389	
wt	_seg_1_:2	normal;normal;	40	0	+0.266	0	0	0	0	1	1	+2400.960	+0.957	-0.001	+0.567	+7.595	
wt	_seg_2_:2	normal;normal;	84	0	+0.266	0	1	0	0	1	1	+5402.161	+0.257	-0.001	+0.712	+17.233	
wt	3	_none_	181	2	+0.036	0	1	0	0	1	1	+10804.322	+0.005	-0.001	+1.013	-86.399	
wt	_seg_0_:3	_none_	136	0	+0.036	0	1	0	0	1	1	+8103.241	+0.010	-0.001	+1.190	-59.201	
wt	_seg_1_:3	_none_	36	0	+0.036	0	1	0	0	1	1	+2160.864	-0.011	-0.001	+1.000	+4.283	
