Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_0_:7	_none_	56	0	+0.000	0	0	0	0	1	1	+144.058	-0.130	-0.000	+6.742	+31.563	
wt	_seg_1_:7	_none_	48	0	+0.000	2	0	0	0	1	1	+137.198	-0.123	-0.001	+6.046	+28.828	
wt	_seg_2_:7	_none_	64	0	+0.000	0	1	0	0	1	1	+137.198	-4.892	+0.001	+0.498	+1.969	
wt	11	_none_	181	3	+0.135	0	3	0	0	1	1	+124.188	-0.003	-0.001	+0.810	+59.227	
wt	_seg_0_:11	_none_	60	0	+0.135	0	0	0	0	1	1	+133.387	+0.006	-0.001	+1.072	+2.649	
wt	_seg_1_:11	_none_	52	0	+0.135	0	2	0	0	1	1	+270.108	-0.052	-0.001	+2.395	+34.367	
wt	_seg_2_:11	_none_	56	0	+0.135	1	0	0	0	1	0	+138.517	+1.879	-0.001	+0.488	+11.827	
wt	22	normal;	181	1	+0.018	0	3	0	0	1	1	+207.775	+0.019	-0.001	+0.948	-1.874	
wt	_seg_0_:22	normal;	176	0	+0.018	1	2	0	0	1	1	+124.188	+0.023	-0.001	+1.116	-9.004	
wt	23	_none_	181	2	+0.670	0	3	0	0	1	1	+124.188	+0.002	-0.001	+0.852	-42.453	
wt	_seg_0_:23	_none_	36	0	+0.670	1	0	0	0	1	0	+270.108	-0.022	-0.001	+0.966	+4.218	
wt	_seg_1_:23	_none_	136	0	+0.670	1	1	0	0	1	1	+300.120	-0.000	-0.001	+1.099	+6428.719	
wt	27	normal;	181	1	+0.268	0	1	0	0	1	1	+120.048	-0.000	-0.001	+0.800	-56.882	
wt	_seg_0_:27	normal;	176	0	+0.268	2	2	0	0	1	1	+120.048	+0.006	-0.001	+0.897	-4.858	
wt	29	_none_	181	3	+0.380	1	1	0	0	1	1	+120.048	-0.005	-0.001	+0.914	+24.778	
wt	_seg_0_:29	_none_	88	0	+0.380	0	1	0	0	1	1	+150.060	-0.005	-0.001	+0.977	+9.890	
wt	_seg_1_:29	_none_	44	0	+0.380	1	0	0	0	1	0	+180.072	+0.055	-0.001	+2.199	-16.308	
wt	_seg_2_:29	_none_	36	0	+0.380	0	1	0	0	1	0	+216.086	-0.389	-0.001	+1.035	+7.626	
wt	31	normal;ascus;	178	2	+0.001	1	1	0	0	1	1	+140.316	+0.025	-0.000	+1.808	-49.995	
wt	_seg_0_:31	normal;ascus;	44	0	+0.001	1	0	0	0	1	1	+135.054	-0.121	-0.001	+6.456	+26.506	
wt	_seg_1_:31	normal;ascus;	124	0	+0.001	1	1	0	0	1	1	+150.060	-0.008	-0.001	+0.844	+85.392	
wt	32	normal;ascus;	206	2	+0.000	1	2	0	0	1	1	+120.048	+5.792	+0.003	+0.903	+15.915	
wt	_seg_0_:32	normal;ascus;	64	0	+0.000	2	1	0	0	1	0	+120.048	-8.078	-0.001	+0.883	+1.426	
wt	_seg_1_:32	normal;ascus;	132	0	+0.000	0	2	0	0	1	1	+165.372	-0.009	-0.001	+1.156	+117.197	
wt	34	normal;	171	3	+0.187	1	1	0	0	1	1	+142.162	-0.007	-0.001	+0.959	+39.023	
wt	_seg_0_:34	normal;	52	0	+0.187	0	1	0	0	1	1	+162.065	-0.065	-0.001	+0.670	-10.807	
wt	_seg_1_:34	normal;	40	0	+0.187	0	0	0	0	1	1	+300.120	-2.028	-0.001	+0.385	+2.554	
wt	_seg_2_:34	normal;	64	0	+0.187	1	2	0	0	1	0	+142.279	+0.662	-0.001	+0.593	+13.826	
wt	35	normal;	227	2	+0.000	1	1	0	0	1	1	+120.048	+9.129	+0.004	+0.832	+26.611	
wt	_seg_0_:35	normal;	100	0	+0.000	1	1	0	0	1	1	+120.048	-9.925	-0.006	+0.899	+1.400	
wt	_seg_1_:35	normal;	116	0	+0.000	0	2	0	0	1	1	+205.797	-0.173	-0.001	+0.515	-4.073	
wt	37	normal;	181	1	+0.000	0	1	0	0	1	1	+125.632	+0.021	+0.002	+1.301	-41.485	
wt	_seg_0_:37	normal;	176	0	+0.000	3	1	0	0	1	1	+135.054	+0.014	-0.001	+0.907	-2.270	
