Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_1_:6	_none_	128	0	+0.000	0	1	0	0	1	1	+128.051	-0.069	-0.001	+0.426	+0.814	
wt	7	_none_	181	1	+0.000	4	1	0	0	1	0	+284.324	+0.220	-0.001	+0.410	+33.330	
wt	_seg_0_:7	_none_	176	0	+0.000	3	2	0	0	1	0	+284.324	+0.226	-0.000	+0.424	+31.191	
wt	11	_none_	181	3	+0.088	1	2	0	0	1	0	+130.173	-0.008	-0.001	+2.845	+220.750	
wt	_seg_0_:11	_none_	36	0	+0.088	1	1	0	0	1	1	+120.048	+2.872	-0.001	+0.729	+6.291	
wt	_seg_1_:11	_none_	44	0	+0.088	0	0	0	0	1	0	+168.818	+5.212	+0.169	+1.006	+1.952	
wt	_seg_2_:11	_none_	88	0	+0.088	0	0	0	0	1	0	+158.887	-0.020	-0.001	+1.009	+6.964	
wt	22	normal;	181	1	+0.013	4	1	0	0	1	1	+183.124	-0.028	-0.001	+3.871	+109.303	
wt	_seg_0_:22	normal;	176	0	+0.013	0	1	0	0	1	1	+183.124	-0.038	-0.001	+3.229	+81.103	
wt	23	_none_	181	2	+0.000	5	0	0	0	1	1	+156.584	-0.054	+0.022	+19.190	+105.157	
wt	_seg_0_:23	_none_	120	0	+0.000	0	0	0	0	1	0	+156.584	-0.019	-0.001	+1.731	+58.248	
wt	_seg_1_:23	_none_	52	0	+0.000	1	0	0	0	1	0	+120.048	-0.096	-0.000	+8.299	+35.253	
wt	27	normal;	181	3	+0.241	3	2	0	0	1	1	+225.090	-0.087	-0.001	+0.602	+9.617	
wt	_seg_0_:27	normal;	76	0	+0.241	3	0	0	0	1	0	+121.670	+0.020	-0.001	+0.807	-5.967	
wt	_seg_1_:27	normal;	56	0	+0.241	0	0	0	0	1	0	+225.090	-0.038	-0.001	+1.298	+27.080	
wt	_seg_2_:27	normal;	36	0	+0.241	0	1	0	0	1	0	+216.086	-0.097	-0.001	+2.759	+20.190	
wt	29	_none_	181	2	+0.255	1	0	0	0	1	0	+122.776	-0.066	-0.001	+0.483	-8.725	
wt	_seg_0_:29	_none_	44	0	+0.255	0	0	0	0	1	0	+122.776	-0.013	-0.001	+0.780	+6.843	
wt	_seg_1_:29	_none_	128	0	+0.255	0	0	0	0	1	0	+121.954	-0.007	-0.001	+1.079	+67.112	
wt	31	normal;ascus;	178	2	+0.006	1	1	0	0	1	1	+148.004	+0.123	-0.001	+0.502	+37.180	
wt	_seg_0_:31	normal;ascus;	104	0	+0.006	0	1	0	0	1	1	+147.332	-0.021	-0.001	+1.152	+33.645	
wt	_seg_1_:31	normal;ascus;	64	0	+0.006	0	1	0	0	1	0	+182.930	+0.563	-0.001	+0.556	+15.179	
wt	32	normal;ascus;	206	4	+0.138	2	1	0	0	1	0	+120.048	+0.023	-0.000	+1.138	-8.621	
wt	_seg_0_:32	normal;ascus;	48	0	+0.138	0	0	0	0	1	0	+120.048	+0.063	-0.001	+6.224	-31.363	
wt	_seg_1_:32	normal;ascus;	68	0	+0.138	0	1	0	0	1	1	+149.025	+0.019	-0.001	+0.947	+2.734	
wt	_seg_2_:32	normal;ascus;	36	0	+0.138	0	0	0	0	1	0	+216.086	-0.159	-0.001	+2.148	+10.527	
wt	_seg_3_:32	normal;ascus;	36	0	+0.138	0	1	0	0	1	0	+240.096	-0.141	-0.001	+7.496	+24.349	
wt	34	normal;	171	3	+0.026	0	2	0	0	1	0	+128.623	+0.003	-0.001	+0.750	-70.955	
wt	_seg_0_:34	normal;	52	0	+0.026	0	1	0	0	1	1	+124.665	-0.102	-0.001	+1.899	+25.870	
wt	_seg_1_:34	normal;	52	0	+0.026	0	0	0	0	1	0	+129.652	+0.030	-0.001	+1.210	-9.568	
wt	_seg_2_:34	normal;	52	0	+0.026	0	0	0	0	1	0	+147.332	-0.130	-0.001	+3.846	+23.507	
wt	35	normal;	227	4	+0.218	0	0	0	0	1	0	+146.998	-0.001	-0.001	+0.922	+42.556	
wt	_seg_0_:35	normal;	44	0	+0.218	0	0	0	0	1	0	+158.887	+0.575	-0.001	+0.751	+7.584	
wt	_seg_1_:35	normal;	48	0	+0.218	0	0	0	0	1	0	+205.797	-0.030	-0.001	+0.942	+7.148	
wt	_seg_2_:35	normal;	64	0	+0.218	2	3	0	0	1	0	+147.751	+0.063	-0.001	+2.640	-20.585	
wt	_seg_3_:35	normal;	52	0	+0.218	1	0	0	0	1	0	+129.652	+0.142	-0.001	+6.664	-13.434	
wt	37	normal;	181	2	+0.000	1	1	0	0	1	1	+174.263	-0.021	-0.001	+4.541	+136.780	
wt	_seg_0_:37	normal;	116	0	+0.000	0	0	0	0	1	0	+133.387	+0.016	-0.001	+0.731	-3.648	
wt	_seg_1_:37	normal;	56	0	+0.000	0	0	0	0	1	0	+138.517	+0.535	-0.001	+0.675	+11.323	
wt	38	normal;	347	1	+0.003	3	0	0	0	1	0	+120.048	+0.001	-0.001	+0.684	+273.769	
wt	_seg_0_:38	normal;	340	0	+0.003	1	0	0	0	1	0	+120.048	+0.000	-0.001	+0.733	+226.868	
wt	39	ascus;normal;	201	4	+0.029	0	2	0	0	1	1	+141.233	-0.028	-0.000	+5.209	+125.602	
wt	_seg_0_:39	ascus;normal;	52	0	+0.029	1	1	0	0	1	1	+140.926	-6.893	-0.001	+0.589	+3.024	
wt	_seg_1_:39	ascus;normal;	36	0	+0.029	0	0	0	0	1	1	+154.347	-5.103	-0.001	+0.483	+1.946	
wt	_seg_2_:39	ascus;normal;	48	0	+0.029	1	0	0	0	1	0	+120.048	+0.037	-0.001	+1.414	-15.597	
wt	_seg_3_:39	ascus;normal;	48	0	+0.029	0	0	0	0	1	0	+144.058	+1.005	-0.001	+0.470	+10.612	
wt	41	normal;	180	2	+0.000	0	1	0	0	1	0	+161.259	+0.045	+0.001	+6.463	-56.822	
wt	_seg_0_:41	normal;	36	0	+0.000	0	0	0	0	1	0	+166.220	+4.691	-0.001	+0.445	+7.258	
