Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	6	_none_	181	1	+0.001	0	2	0	0	1	1	+148.004	+0.007	-0.001	+0.819	-13.399	
wt	_seg_0_:6	_none_	176	0	+0.001	1	1	0	0	1	1	+148.004	+0.002	-0.001	+1.957	-705.919	
wt	7	_none_	181	3	+0.000	0	1	0	0	1	1	+166.220	+0.951	+0.021	+0.185	+30.873	
wt	_seg_0_:7	_none_	60	0	+0.000	1	0	0	0	1	1	+120.048	+0.030	-0.001	+0.611	-5.545	
wt	_seg_1_:7	_none_	40	0	+0.000	0	0	0	0	1	0	+184.689	-3.232	-0.001	+0.392	+1.816	
wt	_seg_2_:7	_none_	68	0	+0.000	0	2	0	0	1	1	+240.096	+0.078	-0.001	+0.842	-0.512	
wt	11	_none_	181	2	+0.000	0	2	0	0	1	1	+166.220	+2.955	+0.068	+0.267	+32.139	
wt	_seg_0_:11	_none_	116	0	+0.000	0	1	0	0	1	1	+171.497	-0.042	-0.000	+4.870	+85.821	
wt	_seg_1_:11	_none_	56	0	+0.000	1	0	0	0	1	1	+200.080	+0.074	-0.001	+1.222	-3.405	
wt	22	normal;	181	1	+0.000	0	2	0	0	1	1	+192.934	+1.021	+0.045	+0.314	+34.718	
wt	_seg_0_:22	normal;	176	0	+0.000	3	3	0	0	1	1	+192.934	+1.083	+0.034	+0.311	+33.887	
wt	23	_none_	181	3	+0.000	0	2	0	0	1	1	+166.220	+0.009	-0.001	+0.710	-46.967	
wt	_seg_0_:23	_none_	80	0	+0.000	0	1	0	0	1	1	+120.048	-0.003	-0.001	+0.777	+78.097	
wt	_seg_1_:23	_none_	40	0	+0.000	1	1	0	0	1	0	+171.497	+8.725	+0.033	+0.586	+5.928	
wt	_seg_2_:23	_none_	48	0	+0.000	0	1	0	0	1	1	+160.064	+2.344	+0.001	+0.612	+7.875	
wt	27	normal;	181	3	+0.000	2	3	0	0	1	1	+161.259	+0.760	+0.020	+0.233	+33.363	
wt	_seg_0_:27	normal;	76	0	+0.000	0	1	0	0	1	1	+145.219	+0.043	-0.001	+0.627	+0.625	
wt	_seg_1_:27	normal;	48	0	+0.000	0	1	0	0	1	0	+169.480	+9.958	+0.092	+0.455	+6.931	
wt	_seg_2_:27	normal;	44	0	+0.000	0	0	0	0	1	1	+150.060	-0.541	-0.001	+0.491	+0.169	
wt	29	_none_	181	2	+0.007	2	1	0	0	1	1	+124.188	+0.227	-0.001	+0.343	+40.224	
wt	_seg_0_:29	_none_	136	0	+0.007	1	1	0	0	1	1	+253.226	+0.003	-0.001	+0.703	-27.780	
wt	_seg_1_:29	_none_	36	0	+0.007	0	1	0	0	1	1	+154.347	+0.080	-0.001	+0.633	+0.708	
wt	31	normal;ascus;	178	1	+0.004	0	2	0	0	1	1	+189.550	+0.457	-0.001	+0.351	+40.356	
wt	_seg_0_:31	normal;ascus;	172	0	+0.004	1	2	0	0	1	1	+189.550	+0.012	-0.001	+0.871	-25.789	
wt	32	normal;ascus;	206	4	+0.000	2	1	0	0	1	1	+120.048	+0.358	+0.063	+0.833	+8.442	
wt	_seg_0_:32	normal;ascus;	60	0	+0.000	1	0	0	0	1	1	+120.048	+0.296	-0.001	+0.913	+7.293	
wt	_seg_1_:32	normal;ascus;	36	0	+0.000	0	1	0	0	1	1	+120.048	+0.053	-0.001	+1.781	-9.657	
wt	_seg_2_:32	normal;ascus;	36	0	+0.000	0	1	0	0	1	0	+166.220	-0.022	-0.001	+1.059	+7.460	
wt	_seg_3_:32	normal;ascus;	56	0	+0.000	0	1	0	0	1	1	+120.048	+0.015	-0.001	+1.049	+8.854	
wt	34	normal;	171	2	+0.000	0	2	0	0	1	1	+166.220	+0.464	-0.000	+0.271	+35.214	
wt	_seg_0_:34	normal;	124	0	+0.000	0	2	0	0	1	1	+174.488	-0.020	-0.001	+2.184	+116.004	
wt	_seg_1_:34	normal;	36	0	+0.000	1	1	0	0	1	1	+120.048	+8.651	+0.135	+6.224	+0.792	
wt	35	normal;	227	2	+0.000	1	1	0	0	1	1	+120.048	+8.658	+0.037	+0.791	+26.574	
wt	_seg_0_:35	normal;	104	0	+0.000	1	0	0	0	1	0	+120.048	-6.389	-0.004	+0.857	+1.518	
wt	_seg_1_:35	normal;	112	0	+0.000	1	2	0	0	1	1	+163.702	+0.344	-0.001	+0.348	+21.267	
wt	37	normal;	181	1	+0.000	1	1	0	0	1	1	+168.818	+2.281	+0.022	+18.913	-0.283	
wt	_seg_0_:37	normal;	176	0	+0.000	1	2	0	0	1	1	+168.818	+0.012	-0.001	+0.841	-93.472	
wt	38	normal;	347	3	+0.001	4	2	0	0	1	1	+120.048	+0.049	-0.001	+0.751	+54.241	
wt	_seg_0_:38	normal;	152	0	+0.001	2	3	0	0	1	1	+120.048	-0.000	-0.001	+1.038	-1504.502	
wt	_seg_1_:38	normal;	104	0	+0.001	3	0	0	0	1	0	+120.048	+0.776	-0.001	+0.679	+25.941	
wt	_seg_2_:38	normal;	76	0	+0.001	1	0	0	0	1	1	+121.670	+0.104	+0.001	+10.652	-22.173	
wt	39	ascus;normal;	201	4	+0.000	0	3	0	0	1	1	+139.591	+4.706	+0.008	+0.573	+14.338	
wt	_seg_0_:39	ascus;normal;	60	0	+0.000	1	1	0	0	1	1	+138.517	-3.605	-0.001	+0.664	+2.857	
wt	_seg_1_:39	ascus;normal;	36	0	+0.000	4	0	0	0	1	1	+144.058	+0.131	-0.001	+1.019	-0.406	
wt	_seg_2_:39	ascus;normal;	52	0	+0.000	0	1	0	0	1	0	+170.595	+9.229	+0.042	+0.543	+5.845	
wt	_seg_3_:39	ascus;normal;	36	0	+0.000	0	0	0	0	1	1	+308.695	+0.133	-0.001	+2.900	-9.942	
wt	41	normal;	180	3	+0.000	1	2	0	0	1	1	+166.220	-0.153	-0.001	+0.238	+3.909	
wt	_seg_0_:41	normal;	68	0	+0.000	0	0	0	0	1	1	+240.096	+0.357	-0.001	+0.392	+12.336	
wt	_seg_1_:41	normal;	36	0	+0.000	1	1	0	0	1	0	+166.220	-0.438	-0.001	+1.558	+7.111	
wt	_seg_2_:41	normal;	60	0	+0.000	0	1	0	0	1	1	+200.080	+0.072	-0.001	+2.092	-22.857	
wt	42	normal;	182	3	+0.000	0	1	0	0	1	1	+160.064	+0.004	-0.001	+1.323	-420.721	
wt	_seg_0_:42	normal;	96	0	+0.000	1	0	0	0	1	1	+130.961	+0.030	-0.001	+1.093	-43.826	
wt	_seg_1_:42	normal;	36	0	+0.000	0	1	0	0	1	0	+196.442	+0.314	+0.003	+12.542	-7.504	
wt	_seg_2_:42	normal;	36	0	+0.000	0	0	0	0	1	1	+216.086	+13.884	+0.091	+0.941	+2.483	
wt	0	_none_	181	3	+0.000	1	1	0	0	1	1	+168.818	+0.009	-0.001	+0.364	+65.950	
wt	_seg_0_:0	_none_	40	0	+0.000	0	1	0	0	1	0	+240.096	-8.342	+0.034	+0.397	+4.474	
wt	_seg_1_:0	_none_	72	0	+0.000	0	1	0	0	1	1	+154.347	-2.854	+0.145	+21.522	+18.115	
wt	_seg_2_:0	_none_	56	0	+0.000	1	1	0	0	1	1	+138.517	+0.424	-0.001	+0.933	+4.963	
wt	1	normal;	180	3	+0.000	1	1	0	0	1	1	+138.517	-0.282	+0.000	+0.289	+18.647	
wt	_seg_0_:1	normal;	80	0	+0.000	0	3	0	0	1	1	+154.901	-0.263	+0.005	+2.019	+24.820	
wt	_seg_1_:1	normal;	44	0	+0.000	0	1	0	0	1	1	+180.072	-1.531	-0.001	+0.387	+1.964	
wt	_seg_2_:1	normal;	40	0	+0.000	0	0	0	0	1	0	+133.387	+0.714	+0.028	+15.599	-2.951	
wt	2	normal;normal;	181	1	+0.000	1	1	0	0	1	1	+154.347	+0.044	-0.001	+0.885	+1.573	
wt	_seg_0_:2	normal;normal;	176	0	+0.000	0	4	0	0	1	1	+154.347	+0.047	-0.001	+0.886	+2.218	
wt	3	_none_	181	1	+0.000	1	1	0	0	1	1	+166.220	+0.022	-0.001	+0.991	-24.676	
wt	_seg_0_:3	_none_	176	0	+0.000	1	1	0	0	1	1	+166.220	+0.022	-0.001	+2.263	-70.480	
wt	5	normal;	181	2	+0.000	1	1	0	0	1	1	+152.174	+0.072	-0.001	+0.317	+19.154	
wt	_seg_0_:5	normal;	44	0	+0.000	0	1	0	0	1	1	+150.060	-7.455	+0.060	+0.379	+4.948	
wt	_seg_1_:5	normal;	128	0	+0.000	1	1	0	0	1	1	+167.023	+0.039	-0.001	+1.696	-31.761	
wt	6	_none_	181	3	+0.000	0	2	0	0	1	1	+138.517	+0.030	-0.001	+0.840	-2.058	
wt	_seg_0_:6	_none_	64	0	+0.000	1	1	0	0	1	1	+213.419	+0.001	-0.001	+0.698	+31.428	
