Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_1_:3	_none_	124	0	+0.000	0	1	0	0	1	1	+7503.001	+0.000	-0.001	+0.991	+318.761	
wt	4	normal;	181	1	+0.007	0	1	0	0	1	1	+10804.322	-0.016	-0.001	+4.455	+183.744	
wt	_seg_0_:4	normal;	176	0	+0.007	0	1	0	0	1	1	+10804.322	-0.009	-0.001	+2.393	+222.544	
wt	6	_none_	181	3	+0.132	1	1	0	0	1	0	+10804.322	-0.000	-0.001	+0.710	-33.631	
wt	_seg_0_:6	_none_	36	0	+0.132	0	1	0	0	1	0	+2160.864	+0.005	-0.001	+0.664	+8.457	
wt	_seg_1_:6	_none_	48	0	+0.132	0	2	0	0	1	1	+2881.152	-0.074	-0.001	+5.769	+38.437	
wt	_seg_2_:6	_none_	84	0	+0.132	0	0	0	0	1	0	+5402.161	-0.039	-0.001	+2.027	+43.238	
wt	7	_none_	181	3	+0.000	0	1	0	0	1	1	+10804.322	+0.269	-0.001	+0.339	+40.484	
wt	_seg_0_:7	_none_	36	0	+0.000	0	0	0	0	1	0	+2160.864	+0.153	-0.001	+1.008	+0.752	
wt	_seg_1_:7	_none_	60	0	+0.000	0	0	0	0	1	0	+3601.441	-0.094	-0.001	+5.138	+34.794	
wt	_seg_2_:7	_none_	72	0	+0.000	2	1	0	0	1	1	+4321.729	+0.026	-0.001	+0.830	+2.381	
wt	11	_none_	181	1	+0.035	0	1	0	0	1	1	+10804.322	-0.014	-0.001	+1.786	+117.468	
wt	_seg_0_:11	_none_	176	0	+0.035	3	1	0	0	1	1	+10804.322	-0.015	-0.001	+2.842	+146.703	
wt	22	normal;	181	2	+0.092	0	2	0	0	1	1	+10804.322	-0.005	-0.001	+0.829	+42.952	
wt	_seg_0_:22	normal;	116	0	+0.092	3	1	0	0	1	1	+7202.881	-0.019	-0.001	+0.846	+22.524	
wt	_seg_1_:22	normal;	56	0	+0.092	0	1	0	0	1	1	+3601.441	+0.039	-0.001	+0.904	+4.807	
wt	23	_none_	181	2	+0.000	0	1	0	0	1	1	+10804.322	-0.017	-0.001	+1.339	+101.316	
wt	_seg_0_:23	_none_	92	0	+0.000	0	0	0	0	1	0	+5762.305	+0.024	-0.001	+0.647	-17.262	
wt	_seg_1_:23	_none_	80	0	+0.000	0	1	0	0	1	1	+4801.921	-0.012	-0.001	+0.764	+17.592	
wt	27	normal;	181	3	+0.368	0	2	0	0	1	1	+10804.322	-0.092	-0.001	+0.445	-5.120	
wt	_seg_0_:27	normal;	80	0	+0.368	0	2	0	0	1	1	+4801.921	+0.019	-0.001	+0.770	+14.897	
wt	_seg_1_:27	normal;	44	0	+0.368	0	0	0	0	1	0	+2701.080	+0.249	+0.006	+14.449	-9.596	
wt	_seg_2_:27	normal;	44	0	+0.368	0	0	0	0	1	0	+2701.080	+1.147	-0.001	+0.431	+9.058	
wt	29	_none_	181	1	+0.143	0	1	0	0	1	1	+10804.322	+0.004	-0.001	+1.191	-165.188	
wt	_seg_0_:29	_none_	176	0	+0.143	0	1	0	0	1	1	+10804.322	+0.001	-0.001	+2.182	-1280.816	
wt	31	normal;ascus;	178	3	+0.000	0	1	0	0	1	1	+10804.322	-0.007	-0.001	+0.937	+113.622	
wt	_seg_0_:31	normal;ascus;	76	0	+0.000	0	0	0	0	1	0	+4501.801	+0.079	-0.001	+0.972	+0.531	
wt	_seg_1_:31	normal;ascus;	52	0	+0.000	0	0	0	0	1	0	+3241.297	-0.053	-0.001	+3.925	+43.005	
wt	_seg_2_:31	normal;ascus;	36	0	+0.000	0	0	0	0	1	0	+2160.864	+0.510	-0.001	+0.616	+6.771	
wt	32	normal;ascus;	206	4	+0.000	2	2	0	0	1	1	+12965.186	+0.004	-0.001	+0.624	-41.308	
wt	_seg_0_:32	normal;ascus;	36	0	+0.000	1	0	0	0	1	0	+2160.864	-0.270	-0.001	+0.380	+0.336	
wt	_seg_1_:32	normal;ascus;	48	0	+0.000	0	1	0	0	1	1	+2881.152	+0.015	-0.001	+0.723	+7.440	
wt	_seg_2_:32	normal;ascus;	48	0	+0.000	0	0	0	0	1	0	+2881.152	+0.238	-0.001	+0.687	+10.898	
wt	_seg_3_:32	normal;ascus;	56	0	+0.000	1	0	0	0	1	0	+3601.441	+0.703	-0.001	+0.571	+11.208	
wt	34	normal;	171	2	+0.051	1	2	0	0	1	1	+10804.322	-0.009	-0.001	+0.800	+29.638	
wt	_seg_0_:34	normal;	124	0	+0.051	2	1	0	0	1	1	+7503.001	-0.027	-0.001	+3.067	+86.110	
wt	_seg_1_:34	normal;	36	0	+0.051	0	0	0	0	1	0	+2160.864	-0.743	-0.001	+0.427	+2.357	
wt	35	normal;	227	3	+0.000	0	1	0	0	1	1	+14405.762	+0.073	-0.001	+0.312	+59.853	
wt	_seg_0_:35	normal;	128	0	+0.000	0	1	0	0	1	1	+7683.073	+0.018	-0.001	+0.815	-16.611	
