Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	4	normal;	181	1	+0.002	1	2	0	0	1	1	+166.220	+0.016	-0.001	+0.854	+1.922	
wt	_seg_0_:4	normal;	176	0	+0.002	2	2	0	0	1	1	+166.220	+0.220	-0.001	+0.403	+40.204	
wt	6	_none_	181	3	+0.009	2	3	0	0	1	1	+171.497	-0.003	-0.001	+0.502	-230.828	
wt	_seg_0_:6	_none_	36	0	+0.009	0	0	0	0	1	0	+154.347	-0.385	+0.002	+12.505	+14.538	
wt	_seg_1_:6	_none_	44	0	+0.009	0	1	0	0	1	1	+135.054	+0.551	-0.001	+0.381	+8.982	
wt	_seg_2_:6	_none_	88	0	+0.009	2	2	0	0	1	1	+168.818	+0.043	-0.001	+4.655	-42.495	
wt	7	_none_	181	3	+0.000	0	1	0	0	1	1	+166.220	+1.551	+0.020	+0.196	+28.900	
wt	_seg_0_:7	_none_	40	0	+0.000	1	0	0	0	1	0	+133.387	-0.072	-0.001	+2.260	+31.086	
wt	_seg_1_:7	_none_	60	0	+0.000	0	1	0	0	1	1	+144.058	-7.796	+0.031	+0.600	+5.928	
wt	_seg_2_:7	_none_	68	0	+0.000	1	1	0	0	1	1	+227.459	+0.029	-0.001	+2.460	-35.187	
wt	11	_none_	181	2	+0.002	2	1	0	0	1	1	+158.887	+0.166	-0.001	+0.334	+39.658	
wt	_seg_0_:11	_none_	116	0	+0.002	2	1	0	0	1	1	+171.497	-0.030	-0.001	+4.705	+99.614	
wt	_seg_1_:11	_none_	56	0	+0.002	0	2	0	0	1	1	+156.584	-0.617	-0.001	+0.706	+3.332	
wt	22	normal;	181	2	+0.003	0	1	0	0	1	1	+171.497	+0.191	-0.001	+0.418	+38.617	
wt	_seg_0_:22	normal;	124	0	+0.003	0	1	0	0	1	1	+178.643	-0.004	-0.001	+0.831	+0.962	
wt	_seg_1_:22	normal;	48	0	+0.003	0	0	0	0	1	1	+240.096	-0.509	-0.001	+0.556	+4.470	
wt	23	_none_	181	1	+0.037	0	1	0	0	1	1	+131.760	-0.004	-0.001	+0.872	+56.455	
wt	_seg_0_:23	_none_	176	0	+0.037	4	1	0	0	1	1	+131.760	-0.007	-0.001	+0.880	+49.022	
wt	27	normal;	181	2	+0.000	1	1	0	0	1	1	+130.173	+0.148	-0.001	+0.237	+40.362	
wt	_seg_0_:27	normal;	136	0	+0.000	0	1	0	0	1	1	+130.697	+0.010	-0.001	+0.635	-45.200	
wt	_seg_1_:27	normal;	36	0	+0.000	0	1	0	0	1	1	+120.048	-14.248	+0.023	+0.424	+3.423	
wt	29	_none_	181	2	+0.000	0	2	0	0	1	1	+152.174	+0.018	-0.001	+2.321	-89.612	
wt	_seg_0_:29	_none_	36	0	+0.000	0	0	0	0	1	1	+240.096	-6.501	+0.028	+0.666	+3.092	
wt	_seg_1_:29	_none_	136	0	+0.000	1	2	0	0	1	1	+142.162	-0.141	-0.001	+0.437	-1.394	
wt	31	normal;ascus;	178	2	+0.000	1	2	0	0	1	1	+327.404	-0.031	+0.000	+5.498	+123.614	
wt	_seg_0_:31	normal;ascus;	84	0	+0.000	0	0	0	0	1	1	+120.048	+0.098	-0.001	+1.739	-10.460	
wt	_seg_1_:31	normal;ascus;	84	0	+0.000	0	2	0	0	1	1	+234.877	-0.060	-0.001	+4.045	+52.318	
wt	32	normal;ascus;	206	3	+0.000	2	1	0	0	1	1	+120.048	+0.949	+0.033	+0.561	+11.714	
wt	_seg_0_:32	normal;ascus;	60	0	+0.000	1	1	0	0	1	1	+120.048	+0.643	-0.001	+0.596	+9.551	
wt	_seg_1_:32	normal;ascus;	56	0	+0.000	0	1	0	0	1	1	+128.623	-0.571	-0.001	+0.420	+3.980	
wt	_seg_2_:32	normal;ascus;	76	0	+0.000	0	1	0	0	1	1	+187.575	-0.053	-0.001	+5.639	+57.997	
wt	34	normal;	171	2	+0.007	1	1	0	0	1	1	+220.496	+0.009	-0.001	+1.539	-137.298	
wt	_seg_0_:34	normal;	108	0	+0.007	0	1	0	0	1	1	+120.048	+0.025	-0.001	+1.505	-36.169	
wt	_seg_1_:34	normal;	52	0	+0.007	0	1	0	0	1	1	+120.048	-0.804	-0.001	+0.405	+1.828	
wt	35	normal;	227	2	+0.000	1	1	0	0	1	1	+120.048	+7.424	+0.063	+0.711	+26.610	
wt	_seg_0_:35	normal;	104	0	+0.000	1	0	0	0	1	0	+120.048	-5.974	-0.004	+0.762	+1.607	
wt	_seg_1_:35	normal;	112	0	+0.000	1	1	0	0	1	1	+184.689	+0.031	-0.001	+1.003	-2.281	
wt	37	normal;	181	2	+0.000	0	1	0	0	1	1	+161.259	+0.893	+0.000	+13.245	-2.048	
wt	_seg_0_:37	normal;	48	0	+0.000	0	0	0	0	1	1	+205.797	-0.059	-0.001	+0.895	+23.910	
wt	_seg_1_:37	normal;	124	0	+0.000	2	2	0	0	1	1	+166.733	+0.013	-0.001	+0.713	-5.099	
wt	38	normal;	347	3	+0.003	3	4	0	0	1	1	+120.048	+0.051	-0.001	+0.721	+55.886	
wt	_seg_0_:38	normal;	152	0	+0.003	1	1	0	0	1	1	+120.048	+0.003	-0.001	+1.503	-73.516	
wt	_seg_1_:38	normal;	112	0	+0.003	2	0	0	0	1	0	+120.048	+0.017	-0.001	+0.928	+28.890	
wt	_seg_2_:38	normal;	68	0	+0.003	3	1	0	0	1	1	+120.048	+0.065	-0.001	+4.779	-27.509	
wt	39	ascus;normal;	201	4	+0.000	2	3	0	0	1	1	+139.591	+6.450	+0.014	+0.640	+14.549	
wt	_seg_0_:39	ascus;normal;	60	0	+0.000	2	3	0	0	1	1	+138.517	+5.242	-0.004	+0.669	+13.477	
wt	_seg_1_:39	ascus;normal;	40	0	+0.000	0	2	0	0	1	1	+120.048	-2.039	-0.000	+6.334	+9.824	
wt	_seg_2_:39	ascus;normal;	40	0	+0.000	0	1	0	0	1	1	+160.064	+9.827	+0.061	+0.480	+4.791	
wt	_seg_3_:39	ascus;normal;	44	0	+0.000	0	1	0	0	1	1	+128.623	-0.573	-0.001	+0.666	+3.171	
wt	41	normal;	180	2	+0.000	1	0	0	0	1	0	+161.259	+0.026	-0.001	+1.071	-54.943	
wt	_seg_0_:41	normal;	116	0	+0.000	1	1	0	0	1	1	+167.509	+0.001	-0.001	+0.612	-948.795	
wt	_seg_1_:41	normal;	52	0	+0.000	0	0	0	0	1	1	+405.162	+3.151	-0.001	+0.546	+11.455	
wt	42	normal;	182	1	+0.000	0	1	0	0	1	1	+144.058	+0.013	-0.001	+0.486	+45.125	
wt	_seg_0_:42	normal;	176	0	+0.000	1	1	0	0	1	1	+220.496	+0.013	-0.001	+0.808	-28.998	
wt	0	_none_	181	3	+0.014	1	1	0	0	1	0	+142.162	-0.004	-0.001	+0.588	-53.877	
wt	_seg_0_:0	_none_	36	0	+0.014	0	2	0	0	1	1	+120.048	+0.047	-0.001	+0.938	+3.979	
wt	_seg_1_:0	_none_	60	0	+0.014	0	0	0	0	1	0	+144.058	+0.433	-0.001	+0.393	+10.983	
wt	_seg_2_:0	_none_	72	0	+0.014	0	1	0	0	1	1	+139.411	+0.068	-0.000	+5.563	-29.565	
wt	1	normal;	180	3	+0.000	0	1	0	0	1	1	+150.060	-0.480	+0.010	+0.304	+17.796	
wt	_seg_0_:1	normal;	80	0	+0.000	1	0	0	0	1	1	+120.048	-6.851	+0.019	+0.499	+17.324	
wt	_seg_1_:1	normal;	44	0	+0.000	0	1	0	0	1	1	+180.072	-3.381	-0.002	+0.464	+1.636	
wt	_seg_2_:1	normal;	40	0	+0.000	0	0	0	0	1	0	+133.387	+0.204	+0.004	+12.083	-13.595	
wt	2	normal;normal;	181	2	+0.012	1	1	0	0	1	1	+154.347	+0.030	-0.001	+0.887	+3.130	
wt	_seg_0_:2	normal;normal;	68	0	+0.012	1	1	0	0	1	1	+149.025	+0.263	-0.001	+0.484	+18.600	
wt	_seg_1_:2	normal;normal;	104	0	+0.012	1	1	0	0	1	1	+381.329	+0.010	-0.001	+0.704	-5.281	
wt	3	_none_	181	3	+0.026	0	1	0	0	1	1	+133.387	+0.004	-0.001	+1.174	-199.127	
wt	_seg_0_:3	_none_	64	0	+0.026	0	1	0	0	1	1	+137.198	-0.285	-0.001	+0.509	+1.620	
wt	_seg_1_:3	_none_	48	0	+0.026	3	0	0	0	1	1	+169.480	-0.226	+0.003	+10.774	+23.810	
wt	_seg_2_:3	_none_	56	0	+0.026	0	2	0	0	1	1	+240.096	+0.081	-0.001	+4.694	-21.160	
wt	5	normal;	181	1	+0.000	0	1	0	0	1	1	+154.347	+0.084	-0.001	+0.180	+22.590	
wt	_seg_0_:5	normal;	176	0	+0.000	1	1	0	0	1	1	+154.347	+0.075	-0.001	+0.219	+16.333	
wt	6	_none_	181	3	+0.011	1	1	0	0	1	1	+140.316	+0.014	-0.001	+0.442	+95.718	
wt	_seg_0_:6	_none_	72	0	+0.011	0	2	0	0	1	1	+254.219	+0.049	-0.002	+0.754	+7.187	
wt	_seg_1_:6	_none_	60	0	+0.011	0	1	0	0	1	1	+144.058	-0.059	-0.001	+5.179	+50.250	
wt	_seg_2_:6	_none_	36	0	+0.011	0	1	0	0	1	1	+180.072	+1.291	-0.001	+0.556	+6.826	
wt	8	_none_	181	1	+0.000	2	1	0	0	1	1	+216.086	+0.021	-0.001	+2.318	-94.891	
wt	_seg_0_:8	_none_	176	0	+0.000	1	1	0	0	1	1	+138.517	+0.026	-0.001	+2.568	-74.427	
wt	9	normal;	179	2	+0.000	1	1	0	0	1	1	+140.316	+1.045	+0.029	+0.250	+20.420	
wt	_seg_0_:9	normal;	64	0	+0.000	2	0	0	0	1	1	+137.198	-0.269	+0.005	+10.728	+23.557	
wt	_seg_1_:9	normal;	104	0	+0.000	0	1	0	0	1	1	+124.665	+3.475	+0.071	+0.532	+2.733	
wt	12	normal;	173	2	+0.000	2	1	0	0	1	1	+186.281	+0.034	+0.000	+3.388	-46.454	
wt	_seg_0_:12	normal;	48	0	+0.000	0	1	0	0	1	1	+144.058	+0.053	-0.001	+1.091	-0.233	
wt	_seg_1_:12	normal;	116	0	+0.000	1	1	0	0	1	1	+189.550	+0.004	-0.001	+0.596	-111.121	
wt	16	_none_	181	2	+0.003	0	2	0	0	1	1	+161.259	+0.026	-0.001	+0.986	+1.284	
wt	_seg_0_:16	_none_	36	0	+0.003	0	1	0	0	1	1	+216.086	-0.055	-0.001	+2.963	+31.190	
wt	_seg_1_:16	_none_	136	0	+0.003	0	2	0	0	1	1	+162.065	-0.016	-0.001	+0.491	-16.582	
wt	17	_none_	181	1	+0.000	0	2	0	0	1	1	+154.347	+0.677	-0.003	+0.271	+41.633	
wt	_seg_0_:17	_none_	176	0	+0.000	0	2	0	0	1	1	+154.347	+0.452	-0.001	+0.282	+40.217	
wt	18	_none_	181	3	+0.002	0	2	0	0	1	1	+180.072	+0.019	-0.001	+2.273	-81.605	
wt	_seg_0_:18	_none_	80	0	+0.002	1	1	0	0	1	1	+123.126	+0.070	-0.001	+0.828	+3.332	
wt	_seg_1_:18	_none_	44	0	+0.002	1	0	0	0	1	0	+180.072	-0.026	-0.001	+0.679	+1.413	
wt	_seg_2_:18	_none_	44	0	+0.002	0	1	0	0	1	1	+135.054	-2.083	+0.027	+0.782	+7.104	
wt	20	_none_	181	2	+0.113	1	1	0	0	1	1	+122.776	+0.022	-0.001	+1.006	-0.247	
wt	_seg_0_:20	_none_	36	0	+0.113	0	0	0	0	1	1	+127.110	+11.591	+0.048	+0.608	+6.587	
