frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
1,473.86,522.766,29.959,2601,0.7070000000000001,619.803,110.543,0.085,1,1,wt,ascus;normal;
2,498.702,508.257,36.333,2218,0.757,428.482,77.726,0.152,2,1,wt,ascus;normal;
3,533.735,502.49,38.436,2384,0.8,423.411,78.97399999999998,0.16699999999999998,3,1,wt,ascus;normal;
4,571.187,506.24,39.635,2808,0.772,530.122,90.204,0.126,4,1,wt,ascus;normal;
5,586.557,513.184,36.973,3035,0.705,666.087,104.515,0.086,5,1,wt,ascus;normal;
6,581.9209999999998,509.16,39.811,3016,0.7090000000000001,643.845,96.458,0.091,6,1,wt,ascus;normal;
7,544.5419999999998,498.68300000000005,33.273,2410,0.742,520.021,92.222,0.112,7,1,wt,ascus;normal;
8,489.024,505.261,28.515,2368,0.735,538.021,105.735,0.103,8,1,wt,ascus;normal;
9,486.354,504.739,30.624,2385,0.762,497.737,99.161,0.121,9,1,wt,ascus;normal;
10,502.343,499.457,37.681,2015,0.773,444.34,68.086,0.128,10,1,wt,ascus;normal;
11,534.966,494.541,29.28,2472,0.7509999999999999,573.72,107.494,0.094,11,1,wt,ascus;normal;
12,582.053,502.004,39.905,3077,0.765,627.318,98.178,0.098,12,1,wt,ascus;normal;
13,568.3919999999998,497.489,44.726000000000006,2678,0.768,496.08,76.237,0.13699999999999998,13,1,wt,ascus;normal;
14,521.2180000000002,498.713,27.884,2477,0.727,576.205,113.103,0.094,14,1,wt,ascus;normal;
15,476.401,504.074,28.913,2385,0.696,614.8330000000002,105.026,0.079,15,1,wt,ascus;normal;
16,487.326,497.359,35.848,2195,0.7070000000000001,453.311,77.962,0.134,16,1,wt,ascus;normal;
17,509.826,498.26,35.104,2151,0.7240000000000001,454.624,78.018,0.131,17,1,wt,ascus;normal;
18,505.334,495.2,36.851,2241,0.753,464.039,77.429,0.131,18,1,wt,ascus;normal;
19,477.001,499.107,32.616,2444,0.716,534.749,95.408,0.107,19,1,wt,ascus;normal;
20,475.458,499.383,33.138000000000005,2355,0.754,435.897,90.484,0.156,20,1,wt,ascus;normal;
21,493.378,495.464,38.29,2225,0.7759999999999999,455.55300000000005,73.986,0.135,21,1,wt,ascus;normal;
22,557.294,502.632,26.67,2447,0.6940000000000001,587.9630000000002,116.82,0.08900000000000001,22,1,wt,ascus;normal;
23,547.957,498.239,33.021,2229,0.6990000000000001,599.519,85.946,0.078,23,1,wt,ascus;normal;
24,533.7909999999998,493.369,41.566,2059,0.757,454.767,63.07100000000001,0.125,24,1,wt,ascus;normal;
25,528.705,492.875,39.121,2053,0.743,478.867,66.817,0.113,25,1,wt,ascus;normal;
26,542.575,492.812,38.532,2085,0.703,522.122,68.895,0.096,26,1,wt,ascus;normal;
27,556.382,494.666,33.004,2189,0.7490000000000001,500.08,84.449,0.11,27,1,wt,ascus;normal;
28,549.7909999999998,494.434,37.398,2085,0.77,412.68300000000005,70.986,0.154,28,1,wt,ascus;normal;
29,523.611,490.478,36.172,2071,0.742,465.11,72.899,0.12,29,1,wt,ascus;normal;
30,517.764,489.6,36.548,2109,0.738,480.524,73.473,0.115,30,1,wt,ascus;normal;
31,544.4680000000002,491.494,36.042,2247,0.74,485.838,79.37899999999998,0.12,31,1,wt,ascus;normal;
32,582.706,500.4980000000001,34.215,2583,0.7090000000000001,638.087,96.121,0.08,32,1,wt,ascus;normal;
33,578.279,499.013,36.956,2454,0.7559999999999999,475.009,84.54799999999999,0.13699999999999998,33,1,wt,ascus;normal;
34,557.6759999999998,490.49300000000005,39.13800000000001,2222,0.763,421.169,72.28699999999998,0.157,34,1,wt,ascus;normal;
35,546.797,486.6880000000001,38.767,2266,0.767,518.95,74.423,0.106,35,1,wt,ascus;normal;
36,540.854,484.941,38.548,2326,0.763,510.465,76.828,0.112,36,1,wt,ascus;normal;
37,562.061,489.404,39.28,2327,0.775,475.453,75.428,0.129,37,1,wt,ascus;normal;
38,591.535,499.125,36.419,2733,0.752,567.82,95.547,0.107,38,1,wt,ascus;normal;
39,589.894,499.56,38.464,2492,0.772,480.524,82.49,0.136,39,1,wt,ascus;normal;
40,579.2819999999998,492.546,42.694,2310,0.769,493.495,68.89,0.119,40,1,wt,ascus;normal;
41,572.373,489.887,41.779,2173,0.773,429.311,66.223,0.14800000000000002,41,1,wt,ascus;normal;
42,563.357,486.371,41.183,2224,0.745,467.252,68.759,0.128,42,1,wt,ascus;normal;
43,554.913,483.791,37.852,2244,0.7809999999999999,470.968,75.483,0.127,43,1,wt,ascus;normal;
44,557.691,484.165,39.831,2248,0.7979999999999999,428.482,71.859,0.154,44,1,wt,ascus;normal;
45,559.558,485.682,41.299,2121,0.7759999999999999,446.825,65.39,0.133,45,1,wt,ascus;normal;
46,564.28,486.435,45.094,2062,0.767,423.512,58.221,0.14400000000000002,46,1,wt,ascus;normal;
