frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
1,1000.656,363.911,112.543,1632,0.7490000000000001,378.843,49.006,0.14300000000000002,1,3,wt,_none_
2,1007.565,370.543,151.39,1268,0.82,223.907,43.602,0.318,2,3,wt,_none_
3,1008.872,375.102,158.806,1157,0.809,248.191,42.984,0.236,3,3,wt,_none_
4,1012.817,380.825,145.67,849,0.753,244.392,40.663,0.179,4,3,wt,_none_
5,1014.693,386.458,157.964,648,0.7609999999999999,211.522,37.542,0.182,5,3,wt,_none_
6,1012.866,389.48,155.659,804,0.7959999999999999,206.35,39.239,0.237,6,3,wt,_none_
7,1014.693,392.795,173.66,664,0.787,175.96599999999995,38.085,0.269,7,3,wt,_none_
8,1014.89,395.147,171.347,649,0.715,240.534,38.11,0.141,8,3,wt,_none_
9,1014.38,398.218,167.196,708,0.758,194.451,39.493,0.235,9,3,wt,_none_
10,1013.925,400.952,157.694,702,0.8079999999999999,186.208,37.604,0.254,10,3,wt,_none_
11,1012.389,403.027,166.608,793,0.779,220.149,37.402,0.206,11,3,wt,_none_
12,1011.397,405.449,149.036,907,0.8290000000000001,214.735,40.215,0.247,12,3,wt,_none_
13,1011.371,404.093,165.96400000000003,954,0.768,265.161,41.979,0.171,13,3,wt,_none_
14,1010.324,407.24300000000005,160.821,1014,0.7929999999999999,238.534,40.823,0.224,14,3,wt,_none_
15,1008.586,408.999,147.619,1119,0.818,254.43400000000003,41.685,0.217,15,3,wt,_none_
16,1009.162,411.755,31.866,972,0.797,245.12,36.419,0.203,16,3,wt,_none_
17,1006.408,411.855,153.435,1179,0.856,216.149,40.09,0.317,17,3,wt,_none_
18,1006.051,411.492,151.049,1282,0.7859999999999999,318.659,43.743,0.159,18,3,wt,_none_
19,1005.098,411.891,139.899,1249,0.7909999999999999,279.789,42.232,0.2,19,3,wt,_none_
20,1002.708,410.865,130.711,1483,0.7559999999999999,388.742,47.703,0.123,20,3,wt,_none_
21,1003.714,412.281,143.344,1358,0.774,296.86,43.334,0.194,21,3,wt,_none_
22,1000.058,411.343,126.027,1412,0.723,346.25699999999995,45.552,0.14800000000000002,22,3,wt,_none_
23,995.288,412.04,123.111,1459,0.757,383.47,46.345,0.125,23,3,wt,_none_
24,998.249,412.199,126.027,1446,0.754,362.642,46.504,0.138,24,3,wt,_none_
25,995.616,411.865,148.325,1426,0.7240000000000001,382.884,45.212,0.122,25,3,wt,_none_
26,990.266,412.159,111.801,1444,0.7879999999999999,277.546,46.413,0.236,26,3,wt,_none_
27,990.951,413.703,108.435,1338,0.787,312.416,44.578,0.172,27,3,wt,_none_
28,989.685,413.328,124.824,1361,0.7390000000000001,384.884,44.863,0.115,28,3,wt,_none_
29,987.704,412.676,135.764,1318,0.762,305.487,44.645,0.177,29,3,wt,_none_
30,987.887,412.398,113.199,1313,0.764,281.103,43.96100000000001,0.209,30,3,wt,_none_
