frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
1,790.684,438.911,40.314,947,0.7759999999999999,242.333,36.578,0.203,1,3,wt,_none_
2,792.09,437.686,9.689,873,0.762,240.818,34.998000000000005,0.189,2,3,wt,_none_
3,792.61,437.079,38.66,866,0.7829999999999999,214.291,37.177,0.237,3,3,wt,_none_
4,793.927,433.25,29.578000000000007,865,0.789,227.505,37.503,0.21,4,3,wt,_none_
5,794.049,430.786,55.222,865,0.772,227.362,38.315,0.21,5,3,wt,_none_
6,795.0,430.959,59.036,894,0.779,229.505,40.17,0.213,6,3,wt,_none_
7,793.882,429.913,73.686,865,0.7979999999999999,216.735,38.405,0.231,7,3,wt,_none_
8,794.3,429.04,78.959,848,0.773,217.605,36.255,0.225,8,3,wt,_none_
9,794.595,428.027,95.572,864,0.7929999999999999,201.563,35.594,0.267,9,3,wt,_none_
10,794.4910000000001,426.671,34.077,864,0.809,200.635,37.162,0.27,10,3,wt,_none_
11,795.005,427.574,67.932,837,0.7809999999999999,213.12,36.872,0.232,11,3,wt,_none_
12,795.8439999999998,423.4980000000001,112.306,857,0.804,199.907,38.415,0.269,12,3,wt,_none_
13,798.6460000000002,424.686,129.289,843,0.779,205.22,36.321,0.252,13,3,wt,_none_
14,799.442,422.246,37.147,885,0.777,211.948,35.897,0.248,14,3,wt,_none_
15,798.6,423.832,57.426,894,0.754,243.647,34.3,0.189,15,3,wt,_none_
16,799.595,422.298,81.67399999999998,912,0.7809999999999999,229.505,35.673,0.218,16,3,wt,_none_
17,799.18,422.3,81.67399999999998,892,0.779,196.149,36.751,0.29100000000000004,17,3,wt,_none_
18,800.303,419.531,116.565,884,0.775,217.463,36.326,0.235,18,3,wt,_none_
19,798.97,420.672,138.945,864,0.7959999999999999,192.392,35.691,0.293,19,3,wt,_none_
20,799.5160000000002,421.836,156.161,900,0.746,232.09,39.846,0.21,20,3,wt,_none_
21,799.19,424.913,165.7,911,0.759,238.676,43.21,0.201,21,3,wt,_none_
22,799.577,419.844,139.686,875,0.765,242.333,37.048,0.187,22,3,wt,_none_
23,800.597,419.59,87.274,848,0.7809999999999999,211.706,36.267,0.238,23,3,wt,_none_
24,798.558,422.505,159.928,857,0.7,260.132,45.427,0.159,24,3,wt,_none_
25,797.441,423.135,144.46200000000005,962,0.77,214.049,44.725,0.264,25,3,wt,_none_
26,796.962,423.591,140.793,803,0.737,204.049,42.3,0.242,26,3,wt,_none_
27,796.696,423.544,157.797,827,0.687,254.233,45.019,0.161,27,3,wt,_none_
28,798.1439999999999,422.293,120.735,855,0.765,231.161,37.1,0.201,28,3,wt,_none_
29,797.783,422.029,153.997,807,0.754,213.12,38.378,0.223,29,3,wt,_none_
30,798.703,420.2480000000001,145.561,819,0.778,198.149,37.44,0.262,30,3,wt,_none_
31,797.801,419.918,176.1,803,0.713,254.333,38.778,0.156,31,3,wt,_none_
32,800.2819999999998,418.378,76.293,769,0.787,205.12,35.868,0.23,32,3,wt,_none_
33,799.57,420.552,122.152,791,0.769,192.492,36.084,0.268,33,3,wt,_none_
34,799.07,422.55800000000005,141.34,747,0.784,174.208,33.995,0.309,34,3,wt,_none_
35,797.92,422.001,148.57,754,0.767,203.806,35.686,0.228,35,3,wt,_none_
36,798.763,416.594,170.53799999999995,921,0.7340000000000001,209.362,35.753,0.264,36,3,wt,_none_
37,798.059,418.411,76.293,898,0.746,262.718,36.141,0.163,37,3,wt,_none_
38,798.2310000000001,418.099,125.707,746,0.772,191.907,33.363,0.255,38,3,wt,_none_
39,797.4,418.305,140.906,913,0.748,246.818,35.795,0.188,39,3,wt,_none_
40,796.6139999999998,419.695,148.815,885,0.774,218.291,38.306,0.233,40,3,wt,_none_
41,797.342,419.566,139.686,880,0.768,208.635,36.551,0.254,41,3,wt,_none_
42,796.206,420.003,154.026,878,0.7979999999999999,207.706,38.17,0.256,42,3,wt,_none_
43,795.953,420.65,4.086,839,0.7979999999999999,200.392,37.342,0.263,43,3,wt,_none_
44,795.75,418.607,144.904,857,0.787,200.735,39.795,0.267,44,3,wt,_none_
45,797.342,417.236,168.69,811,0.7829999999999999,194.392,32.67,0.27,45,3,wt,_none_
46,796.314,418.30800000000005,178.56799999999996,818,0.741,188.836,34.992,0.28800000000000003,46,3,wt,_none_
47,796.573,416.955,165.96400000000003,840,0.794,222.777,36.114,0.213,47,3,wt,_none_
48,797.8689999999998,416.764,152.784,833,0.7929999999999999,209.463,34.803000000000004,0.239,48,3,wt,_none_
49,798.528,418.8,152.17600000000004,791,0.765,225.019,36.018,0.196,49,3,wt,_none_
50,797.7669999999998,417.584,11.592,797,0.7829999999999999,210.877,34.479,0.225,50,3,wt,_none_
51,798.7719999999998,418.04,131.186,856,0.7559999999999999,211.806,35.018,0.24,51,3,wt,_none_
52,798.181,418.411,158.459,828,0.77,211.12,35.831,0.233,52,3,wt,_none_
53,798.1389999999999,417.412,156.03799999999995,782,0.785,199.12,34.26,0.248,53,3,wt,_none_
54,798.3580000000002,417.065,99.926,803,0.731,236.919,34.504,0.18,54,3,wt,_none_
55,799.987,414.481,129.094,790,0.7140000000000001,237.848,32.774,0.175,55,3,wt,_none_
56,800.56,415.034,130.914,799,0.765,249.262,34.184,0.162,56,3,wt,_none_
57,800.4010000000002,415.706,143.42700000000005,746,0.7659999999999999,209.563,33.361999999999995,0.213,57,3,wt,_none_
58,800.694,414.19,154.093,754,0.75,229.505,33.531,0.18,58,3,wt,_none_
59,799.372,414.896,155.32299999999995,752,0.7490000000000001,214.291,34.71,0.206,59,3,wt,_none_
60,798.301,413.835,115.278,770,0.779,193.664,33.389,0.258,60,3,wt,_none_
61,798.6139999999998,413.752,6.009,735,0.7509999999999999,202.149,32.397,0.226,61,3,wt,_none_
62,797.816,411.648,109.855,765,0.78,194.978,33.495,0.253,62,3,wt,_none_
63,796.86,412.983,137.045,751,0.772,202.735,34.286,0.23,63,3,wt,_none_
64,797.5360000000002,415.081,148.299,768,0.769,207.22,34.926,0.225,64,3,wt,_none_
65,798.12,414.202,133.995,745,0.764,196.635,34.216,0.242,65,3,wt,_none_
66,797.1510000000002,414.171,159.444,763,0.753,223.019,34.921,0.193,66,3,wt,_none_
67,799.3610000000001,410.143,81.67399999999998,743,0.705,216.291,34.78,0.2,67,3,wt,_none_
68,801.8760000000002,405.105,56.31,727,0.647,241.647,37.718,0.156,68,3,wt,_none_
69,802.2189999999998,404.369,54.162,786,0.742,222.049,36.932,0.2,69,3,wt,_none_
70,802.836,404.334,73.686,705,0.705,215.948,36.16,0.19,70,3,wt,_none_
71,801.245,407.103,74.249,749,0.7190000000000001,202.049,33.85,0.231,71,3,wt,_none_
72,799.211,408.186,124.875,691,0.7020000000000001,202.635,33.602,0.211,72,3,wt,_none_
73,798.659,410.752,145.561,690,0.78,177.179,37.324,0.276,73,3,wt,_none_
74,797.492,412.139,149.265,731,0.7190000000000001,221.605,35.467,0.187,74,3,wt,_none_
75,796.2819999999998,414.455,154.026,712,0.711,209.806,36.542,0.203,75,3,wt,_none_
