frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
1,665.253,284.594,29.422,794,0.775,211.12,34.36,0.224,1,4,wt,normal;
2,667.428,283.711,29.973000000000006,797,0.753,206.534,33.857,0.235,2,4,wt,normal;
3,668.362,283.685,30.859,812,0.753,215.463,33.503,0.22,3,4,wt,normal;
4,671.3430000000002,283.0440000000001,29.042,783,0.755,233.848,34.328,0.18,4,4,wt,normal;
5,675.176,284.257,31.778,922,0.774,215.463,36.941,0.25,5,4,wt,_none_
6,674.873,283.584,31.269,891,0.767,246.233,36.28,0.185,6,4,wt,_none_
7,675.183,283.471,28.906,755,0.778,188.392,33.256,0.267,7,4,wt,_none_
8,675.45,283.072,31.353,909,0.7340000000000001,283.446,36.915,0.142,8,4,wt,_none_
9,678.29,282.8640000000001,31.272,926,0.754,258.475,37.701,0.174,9,4,wt,_none_
10,677.03,281.945,32.149,913,0.743,246.576,36.159,0.189,10,4,wt,_none_
11,674.445,279.009,33.098,912,0.7440000000000001,292.759,35.084,0.134,11,4,wt,_none_
12,674.377,277.452,32.553000000000004,920,0.747,245.161,35.98300000000001,0.192,12,4,wt,_none_
13,678.9910000000001,277.694,32.216,952,0.7340000000000001,268.718,37.625,0.166,13,4,wt,_none_
14,679.763,277.211,28.036,748,0.77,198.735,33.97,0.238,14,4,wt,_none_
15,678.8739999999998,275.889,33.145,894,0.723,255.747,34.342,0.172,15,4,wt,_none_
16,677.802,274.409,32.828,927,0.728,257.889,35.954,0.175,16,4,wt,_none_
17,679.632,275.088,33.21,934,0.743,272.132,35.809,0.158,17,4,wt,_none_
18,681.329,276.342,33.719,934,0.7290000000000001,267.546,35.268,0.16399999999999998,18,4,wt,_none_
19,681.427,275.463,32.832,927,0.746,307.345,35.949,0.123,19,4,wt,_none_
20,682.977,273.765,33.853,972,0.76,270.96,36.558,0.166,20,4,wt,_none_
21,684.643,273.457,32.587,897,0.6859999999999999,272.96,35.048,0.151,21,4,wt,_none_
22,686.9169999999998,274.517,31.19,926,0.737,273.789,37.801,0.155,22,4,wt,_none_
23,686.31,273.846,31.387,925,0.7440000000000001,242.09,37.524,0.198,23,4,wt,_none_
24,685.465,272.363,32.834,918,0.742,284.617,35.598,0.142,24,4,wt,_none_
25,686.331,272.998,31.558000000000003,903,0.728,233.848,36.432,0.208,25,4,wt,_none_
26,686.127,274.28,32.959,913,0.754,281.688,35.27,0.145,26,4,wt,_none_
27,684.0169999999998,272.702,31.268,862,0.736,202.392,35.1,0.264,27,4,wt,_none_
28,683.182,272.031,32.391,855,0.765,223.948,33.608000000000004,0.214,28,4,wt,_none_
29,680.078,269.659,30.038,848,0.742,243.848,35.945,0.179,29,4,wt,_none_
30,682.789,271.04200000000003,31.286,821,0.773,204.534,33.412,0.247,30,4,wt,_none_
31,686.5889999999998,271.497,30.762,928,0.7190000000000001,291.103,38.411,0.138,31,4,wt,_none_
32,683.799,270.737,32.869,886,0.755,244.09,34.321,0.187,32,4,wt,_none_
33,683.805,269.858,32.479,857,0.755,227.262,33.596,0.209,33,4,wt,_none_
34,687.1060000000001,270.668,28.742,863,0.757,250.333,38.23,0.173,34,4,wt,_none_
35,687.6060000000001,270.835,30.553,862,0.7170000000000001,235.161,35.922,0.196,35,4,wt,_none_
36,688.832,270.87,31.785,898,0.779,224.43400000000003,35.972,0.224,36,4,wt,_none_
37,685.7589999999999,267.302,33.136,924,0.7390000000000001,252.676,35.505,0.182,37,4,wt,_none_
38,685.947,267.89,32.813,894,0.6990000000000001,273.203,34.69,0.151,38,4,wt,_none_
39,687.346,268.81,32.008,832,0.743,220.43400000000003,33.096,0.215,39,4,wt,_none_
40,690.547,269.722,27.735,898,0.755,222.191,41.224,0.229,40,4,wt,_none_
41,688.612,268.558,30.416,898,0.746,270.375,37.591,0.154,41,4,wt,_none_
42,686.318,266.567,31.624,909,0.759,239.99,36.597,0.198,42,4,wt,_none_
43,686.2719999999998,266.03700000000003,32.548,868,0.7240000000000001,275.203,33.955,0.14400000000000002,43,4,wt,_none_
44,688.1410000000002,267.509,30.44,853,0.76,220.191,35.679,0.221,44,4,wt,_none_
45,686.405,267.092,31.387,807,0.795,221.605,32.736,0.207,45,4,wt,_none_
46,682.416,265.379,28.889,811,0.743,231.019,35.744,0.191,46,4,wt,_none_
47,683.878,265.371,31.927,817,0.7959999999999999,191.321,32.581,0.28,47,4,wt,_none_
48,684.9810000000001,265.688,31.059,823,0.75,234.09,33.738,0.189,48,4,wt,_none_
49,687.5189999999999,266.014,31.212,831,0.752,265.061,33.899,0.149,49,4,wt,_none_
50,686.202,265.654,32.343,843,0.733,266.96,33.187,0.149,50,4,wt,_none_
51,686.039,264.772,31.078000000000007,786,0.746,227.362,32.201,0.191,51,4,wt,_none_
52,684.919,265.754,31.017,778,0.778,215.463,31.937,0.211,52,4,wt,_none_
53,687.3530000000002,265.014,31.427,845,0.726,239.747,34.234,0.185,53,4,wt,_none_
54,686.341,264.566,32.863,866,0.7440000000000001,260.475,33.552,0.16,54,4,wt,_none_
55,687.311,262.906,33.015,901,0.735,257.546,34.748000000000005,0.171,55,4,wt,_none_
56,685.304,264.216,32.213,864,0.7390000000000001,247.99,34.15,0.177,56,4,wt,_none_
57,684.95,264.99,30.862,834,0.74,234.919,34.407,0.19,57,4,wt,_none_
58,689.923,265.253,28.367,853,0.7809999999999999,201.806,38.287,0.263,58,4,wt,_none_
59,685.659,263.83,31.145,834,0.755,222.777,34.094,0.211,59,4,wt,_none_
60,684.32,263.454,29.621,799,0.754,234.534,34.344,0.183,60,4,wt,_none_
61,688.306,264.322,32.455,866,0.747,236.777,33.974000000000004,0.194,61,4,wt,_none_
62,688.447,262.445,29.804,854,0.765,236.333,36.483,0.192,62,4,wt,_none_
63,685.288,262.124,31.389,838,0.76,228.333,33.992,0.202,63,4,wt,_none_
64,688.262,263.945,31.795,865,0.759,230.191,34.639,0.205,64,4,wt,_none_
65,688.668,264.3,31.745,805,0.7709999999999999,210.877,32.287,0.227,65,4,wt,_none_
66,685.37,262.03700000000003,30.05,817,0.743,245.747,34.616,0.17,66,4,wt,_none_
67,688.493,262.062,32.172,870,0.754,203.806,34.431,0.263,67,4,wt,_none_
68,688.908,262.076,32.204,846,0.748,240.576,33.448,0.184,68,4,wt,_none_
69,687.954,262.079,32.351,865,0.7190000000000001,243.99,34.043,0.183,69,4,wt,_none_
70,688.2719999999998,261.146,32.015,873,0.718,252.233,34.72,0.172,70,4,wt,_none_
71,685.82,262.564,32.448,840,0.726,251.404,32.961,0.16699999999999998,71,4,wt,_none_
72,684.825,259.593,31.107,851,0.757,239.848,34.833,0.18600000000000005,72,4,wt,_none_
73,684.867,260.508,30.867,862,0.742,271.103,35.556,0.147,73,4,wt,_none_
74,685.988,260.652,31.946,840,0.721,263.546,33.479,0.152,74,4,wt,_none_
75,685.3,259.082,31.762,891,0.736,257.061,35.718,0.16899999999999998,75,4,wt,_none_
76,687.785,258.281,33.892,917,0.76,285.688,34.45,0.141,76,4,wt,_none_
77,691.89,258.66200000000003,31.3,919,0.738,254.919,37.384,0.17800000000000002,77,4,wt,_none_
78,687.243,256.844,32.014,838,0.768,248.475,33.329,0.171,78,4,wt,_none_
79,685.903,255.68400000000003,30.901,871,0.703,241.019,35.88800000000001,0.188,79,4,wt,_none_
80,689.717,257.847,31.185,914,0.7490000000000001,295.931,37.31800000000001,0.131,80,4,wt,_none_
81,688.087,257.908,32.464,876,0.743,254.233,34.357,0.17,81,4,wt,_none_
82,687.752,258.004,28.641,683,0.782,181.321,30.362,0.261,82,4,wt,_none_
83,690.658,258.938,32.376,906,0.711,288.1740000000001,35.63,0.13699999999999998,83,4,wt,_none_
84,687.569,256.959,31.048,869,0.71,271.103,35.637,0.149,84,4,wt,_none_
85,687.923,257.367,31.697,862,0.764,244.333,34.625,0.181,85,4,wt,_none_
86,688.404,256.16700000000003,31.375,831,0.773,236.191,33.723,0.187,86,4,wt,_none_
87,687.632,255.641,28.209,695,0.757,185.907,31.369,0.253,87,4,wt,_none_
88,687.133,256.06,28.303,689,0.76,196.049,30.995,0.225,88,4,wt,_none_
89,689.4910000000001,255.922,29.19,701,0.7929999999999999,174.35,30.577,0.29,89,4,wt,_none_
90,687.694,257.075,28.224,676,0.779,182.836,30.496,0.254,90,4,wt,_none_
91,686.548,256.855,30.783,836,0.713,249.404,34.578,0.16899999999999998,91,4,wt,_none_
92,685.054,256.256,31.429,800,0.7759999999999999,218.777,32.409,0.21,92,4,wt,_none_
93,687.077,256.383,29.815,802,0.723,282.032,34.249,0.127,93,4,wt,_none_
94,686.426,256.058,27.996,650,0.7859999999999999,186.149,29.562,0.236,94,4,wt,_none_
95,686.945,254.154,27.653,647,0.79,192.149,29.79,0.22,95,4,wt,_none_
96,688.487,255.148,27.95,685,0.7609999999999999,207.706,31.205,0.2,96,4,wt,_none_
97,690.7439999999998,255.387,27.384,655,0.7759999999999999,179.66400000000004,30.455,0.255,97,4,wt,_none_
98,686.893,254.808,27.851,639,0.7979999999999999,173.865,29.213,0.266,98,4,wt,_none_
99,686.073,254.428,28.088,639,0.764,172.593,28.966,0.27,99,4,wt,_none_
100,687.3910000000002,256.08,30.982,772,0.727,230.877,31.726,0.182,100,4,wt,_none_
101,685.337,254.853,30.03,799,0.746,211.12,33.876999999999995,0.225,101,4,wt,_none_
102,684.546,255.083,29.048,721,0.7659999999999999,196.291,31.603,0.235,102,4,wt,_none_
103,687.332,255.452,30.373,768,0.753,235.505,32.195,0.174,103,4,wt,_none_
104,689.605,256.541,29.261,753,0.747,230.919,32.765,0.177,104,4,wt,_none_
105,685.632,255.342,29.43,772,0.758,234.676,33.4,0.17600000000000002,105,4,wt,_none_
106,683.8939999999999,254.442,30.85,790,0.731,240.233,32.605,0.172,106,4,wt,_none_
