frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
66,709.872,34.934,166.293,870,0.769,229.12,34.636,0.208,66,9,wt,_none_
67,709.3539999999998,34.958,23.025,953,0.792,262.475,37.048,0.174,67,9,wt,_none_
68,708.82,35.597,171.87,915,0.7909999999999999,216.291,36.04,0.246,68,9,wt,_none_
69,709.441,36.624,171.674,916,0.769,261.30400000000003,34.644,0.16899999999999998,69,9,wt,_none_
70,707.1610000000002,37.022,36.87,852,0.767,205.22,34.016,0.254,70,9,wt,_none_
71,708.7639999999999,36.984,171.158,1013,0.75,299.931,37.809,0.142,71,9,wt,_none_
72,710.715,37.532,10.539,932,0.7340000000000001,285.588,34.861,0.14400000000000002,72,9,wt,_none_
73,710.571,38.829,155.77200000000005,910,0.731,247.404,34.893,0.187,73,9,wt,_none_
74,710.5160000000002,39.27,31.185,903,0.718,292.517,34.261,0.133,74,9,wt,_none_
75,709.885,40.803,149.265,904,0.727,251.304,34.826,0.18,75,9,wt,_none_
76,710.669,40.076,53.427,794,0.78,220.676,32.189,0.205,76,9,wt,_none_
77,710.9780000000002,39.819,144.904,889,0.773,241.019,35.891,0.192,77,9,wt,_none_
78,711.673,39.991,178.69799999999995,898,0.711,302.1740000000001,35.087,0.124,78,9,wt,_none_
79,711.075,38.56800000000001,172.56900000000005,999,0.737,284.1740000000001,38.05,0.155,79,9,wt,_none_
80,710.4780000000002,38.662,134.029,883,0.779,203.806,34.796,0.267,80,9,wt,_none_
81,710.1,39.265,127.747,803,0.764,223.019,32.163000000000004,0.203,81,9,wt,_none_
82,711.8860000000002,39.042,12.380999999999998,861,0.7140000000000001,260.718,34.037,0.159,82,9,wt,_none_
83,710.497,36.355,149.931,891,0.758,236.576,33.985,0.2,83,9,wt,_none_
84,710.8810000000002,37.0,107.103,804,0.743,227.362,33.234,0.195,84,9,wt,_none_
85,710.998,36.421,2.6630000000000003,919,0.7709999999999999,234.777,34.719,0.21,85,9,wt,_none_
86,711.028,36.357,24.567,791,0.77,203.806,32.108000000000004,0.239,86,9,wt,_none_
87,711.193,35.605,169.21599999999995,854,0.742,230.43400000000003,34.267,0.202,87,9,wt,_none_
88,712.076,35.675,131.987,823,0.752,236.43400000000003,33.509,0.185,88,9,wt,_none_
89,710.1389999999999,36.089,18.034,960,0.7170000000000001,287.688,36.28,0.146,89,9,wt,_none_
90,711.9780000000002,37.477,149.036,895,0.782,211.12,34.33,0.252,90,9,wt,_none_
91,713.0930000000002,37.958,23.703000000000007,952,0.735,279.446,36.05,0.153,91,9,wt,_none_
92,712.9680000000002,37.382,22.306,930,0.768,242.676,35.401,0.198,92,9,wt,_none_
93,713.4580000000002,36.046,30.256,929,0.767,232.191,35.35,0.217,93,9,wt,_none_
94,711.762,36.723,148.841,1063,0.7170000000000001,293.002,39.011,0.156,94,9,wt,_none_
95,711.128,35.129,111.541,919,0.759,250.576,35.262,0.184,95,9,wt,_none_
96,711.373,34.989000000000004,2.49,996,0.721,341.286,37.142,0.107,96,9,wt,_none_
97,711.199,36.349,27.15,1005,0.75,297.831,36.605,0.142,97,9,wt,_none_
98,711.617,33.504,145.561,926,0.792,222.777,36.328,0.234,98,9,wt,_none_
99,711.425,33.968,133.091,883,0.75,254.96,34.025,0.171,99,9,wt,_none_
100,713.535,32.852,164.055,905,0.777,233.605,34.844,0.208,100,9,wt,_none_
101,711.9060000000002,32.955,122.471,837,0.8009999999999999,208.149,33.351,0.243,101,9,wt,_none_
102,712.23,33.159,9.689,907,0.782,238.191,35.096,0.201,102,9,wt,_none_
103,712.4989999999998,33.428000000000004,143.13,893,0.8140000000000001,201.806,34.173,0.276,103,9,wt,_none_
104,712.451,33.573,39.472,951,0.755,254.233,35.774,0.185,104,9,wt,_none_
105,710.9680000000002,32.863,158.459,898,0.7829999999999999,239.848,34.689,0.196,105,9,wt,_none_
106,710.6289999999998,29.143,162.719,986,0.7829999999999999,253.304,39.945,0.193,106,9,wt,_none_
107,710.6289999999998,33.622,138.945,907,0.78,198.635,35.684,0.289,107,9,wt,_none_
108,710.5010000000002,34.06,165.96400000000003,974,0.746,279.688,36.882,0.156,108,9,wt,_none_
109,709.1469999999998,33.904,170.134,1069,0.7609999999999999,272.375,38.941,0.181,109,9,wt,_none_
