frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
1,961.524,93.626,157.62,1481,0.753,363.571,46.404,0.141,1,3,wt,normal;
2,967.419,97.382,158.19899999999996,1498,0.758,330.55800000000005,46.578,0.172,2,3,wt,normal;
3,972.357,100.98,132.64700000000002,1374,0.7859999999999999,308.073,44.988,0.182,3,3,wt,normal;
4,974.505,107.665,149.589,1459,0.79,320.558,46.107,0.17800000000000002,4,3,wt,normal;
5,982.262,114.973,93.066,1389,0.763,298.759,45.195,0.196,5,3,wt,normal;
6,982.561,120.605,129.289,1490,0.7909999999999999,320.558,46.758,0.182,6,3,wt,normal;
7,981.082,121.215,129.523,1328,0.759,331.872,43.784,0.152,7,3,wt,normal;
8,986.344,122.21,146.041,1682,0.8029999999999999,344.014,49.538,0.179,8,3,wt,normal;
9,985.215,125.226,161.222,1475,0.7909999999999999,310.215,46.164,0.193,9,3,wt,normal;
10,983.055,128.27100000000002,151.991,1376,0.778,318.416,45.158,0.171,10,3,wt,normal;
11,983.465,129.244,106.26,1296,0.7859999999999999,279.688,44.228,0.208,11,3,wt,normal;
12,978.039,131.947,138.621,1437,0.765,350.357,46.02,0.147,12,3,wt,normal;
13,978.11,132.035,153.947,1260,0.8140000000000001,253.061,43.23,0.247,13,3,wt,normal;
14,973.92,133.935,142.92700000000005,1603,0.7829999999999999,337.63,48.45,0.177,14,3,wt,normal;
15,972.876,135.747,164.93200000000004,1541,0.778,333.286,47.74,0.174,15,3,wt,normal;
16,975.125,136.201,152.049,1449,0.7879999999999999,324.902,47.072,0.172,16,3,wt,normal;
17,975.503,136.639,145.376,1313,0.762,315.63,43.675,0.166,17,3,wt,normal;
18,968.917,139.196,155.298,1629,0.8170000000000001,336.357,48.523,0.181,18,3,wt,normal;
19,966.128,141.577,129.144,1596,0.7929999999999999,304.759,48.041,0.21600000000000005,19,3,wt,normal;
20,963.353,140.97899999999996,117.031,1526,0.769,321.387,46.49800000000001,0.18600000000000005,20,3,wt,normal;
21,963.652,141.93,152.049,1476,0.78,325.63,47.07,0.175,21,3,wt,normal;
22,958.558,143.14700000000005,131.987,1598,0.802,336.55800000000005,47.786,0.177,22,3,wt,normal;
23,955.947,139.921,110.072,1549,0.809,306.902,48.442,0.207,23,3,wt,normal;
24,956.576,139.454,157.62,1575,0.792,321.73,48.605,0.191,24,3,wt,normal;
25,953.975,140.47,166.218,1573,0.767,344.843,46.707,0.166,25,3,wt,normal;
26,950.008,139.874,144.118,1735,0.773,371.955,49.613,0.158,26,3,wt,normal;
27,952.424,141.108,116.565,1741,0.789,361.328,50.50100000000001,0.168,27,3,wt,normal;
28,947.989,139.335,130.061,1682,0.7879999999999999,342.9430000000001,50.925,0.18,28,3,wt,normal;
29,946.783,139.174,157.457,1733,0.775,368.115,49.279,0.161,29,3,wt,normal;
30,944.96,140.588,132.93,1788,0.792,343.772,50.76300000000001,0.19,30,3,wt,normal;
31,941.444,139.97799999999998,119.982,1764,0.764,401.955,50.103,0.13699999999999998,31,3,wt,normal;
32,938.394,138.246,110.674,1744,0.789,354.014,49.563,0.175,32,3,wt,normal;
33,937.254,138.743,98.13,1669,0.784,355.671,48.307,0.166,33,3,wt,normal;
34,938.529,138.681,148.671,1617,0.804,335.973,47.239,0.18,34,3,wt,normal;
35,935.306,136.641,131.285,1553,0.7959999999999999,338.357,46.967,0.17,35,3,wt,normal;normal;
36,933.76,138.128,129.806,1548,0.789,361.286,46.815,0.149,36,3,wt,normal;normal;
37,933.416,137.327,154.855,1638,0.807,322.316,48.478,0.198,37,3,wt,normal;normal;
38,934.301,137.686,104.995,1580,0.7509999999999999,390.198,47.506,0.13,38,3,wt,normal;normal;
39,933.254,136.751,155.225,1580,0.775,344.9430000000001,47.455,0.16699999999999998,39,3,wt,normal;normal;
40,931.288,135.18200000000002,140.064,1530,0.762,353.3280000000001,46.713,0.154,40,3,wt,normal;normal;
41,927.757,138.27200000000002,134.275,1581,0.759,369.955,48.299,0.145,41,3,wt,normal;normal;
42,931.55,138.795,142.92700000000005,1419,0.767,346.014,46.097,0.149,42,3,wt,normal;normal;
43,930.055,138.614,150.832,1249,0.785,278.86,42.03,0.202,43,3,wt,normal;normal;
44,929.893,138.636,141.009,1432,0.7609999999999999,337.38699999999994,45.468,0.158,44,3,wt,normal;normal;
45,934.69,140.04399999999998,141.009,1329,0.759,344.357,44.48,0.141,45,3,wt,normal;normal;
46,929.539,138.025,146.023,1485,0.784,357.3280000000001,47.06800000000001,0.146,46,3,wt,normal;normal;
47,930.173,138.292,116.03,1243,0.7809999999999999,264.032,42.595,0.224,47,3,wt,normal;normal;
48,932.456,139.32399999999998,143.569,1417,0.758,303.387,45.225,0.193,48,3,wt,normal;normal;
49,928.374,140.408,171.57299999999995,1438,0.778,317.872,46.364,0.179,49,3,wt,normal;normal;
50,928.965,139.141,164.358,1373,0.765,310.659,43.96,0.179,50,3,wt,normal;normal;
51,928.706,139.86700000000002,153.905,1355,0.767,278.759,44.167,0.219,51,3,wt,normal;normal;
52,927.926,138.085,141.34,1353,0.81,276.617,45.045,0.222,52,3,wt,normal;normal;
53,930.535,139.13299999999998,133.452,1443,0.78,331.529,44.295,0.165,53,3,wt,normal;normal;
54,929.974,138.42,130.972,1366,0.787,303.831,43.647,0.18600000000000005,54,3,wt,normal;normal;
55,929.198,138.139,152.904,1306,0.802,289.931,43.018,0.195,55,3,wt,normal;normal;
56,931.104,139.827,141.843,1418,0.745,315.245,45.677,0.179,56,3,wt,normal;normal;
57,927.788,140.18200000000002,152.928,1340,0.7759999999999999,326.215,43.894,0.158,57,3,wt,normal;normal;
58,932.428,139.822,156.501,1248,0.763,293.931,42.262,0.182,58,3,wt,normal;normal;
59,928.721,139.201,143.344,1385,0.759,339.085,44.464,0.151,59,3,wt,normal;normal;
60,929.464,139.29,148.241,1251,0.82,255.304,43.213,0.241,60,3,wt,normal;normal;
61,930.373,138.766,157.218,1433,0.787,343.0440000000001,45.613,0.153,61,3,wt,normal;normal;
62,930.619,138.381,128.66,1366,0.7879999999999999,341.73,43.795,0.147,62,3,wt,normal;normal;
63,930.665,138.411,118.61,1255,0.7809999999999999,276.617,41.662,0.206,63,3,wt,normal;normal;
64,928.591,139.207,152.403,1281,0.7829999999999999,299.831,41.909,0.179,64,3,wt,normal;normal;
65,930.602,138.67600000000002,117.051,1438,0.76,324.701,44.508,0.171,65,3,wt,normal;normal;
66,929.265,137.381,139.514,1354,0.775,302.1740000000001,43.87600000000001,0.18600000000000005,66,3,wt,normal;normal;
67,931.07,138.454,114.538,1295,0.782,291.345,42.297,0.192,67,3,wt,normal;normal;
68,931.244,138.011,124.563,1487,0.762,325.73,45.826,0.17600000000000002,68,3,wt,normal;normal;
69,927.047,135.24200000000002,100.84,1263,0.813,251.404,42.736,0.251,69,3,wt,normal;normal;
70,928.697,136.735,109.385,1556,0.754,379.713,46.988,0.136,70,3,wt,normal;normal;
71,927.178,135.06799999999998,97.815,1344,0.79,305.73,43.923,0.181,71,3,wt,normal;normal;
72,929.58,134.787,108.8,1245,0.767,304.073,42.163,0.16899999999999998,72,3,wt,normal;normal;
73,929.053,133.27200000000002,131.634,1160,0.759,274.86,39.901,0.193,73,3,wt,normal;normal;
74,929.85,132.336,128.29,1062,0.79,229.362,39.133,0.254,74,3,wt,normal;normal;
75,928.917,134.011,166.551,1014,0.736,319.245,37.749,0.125,75,3,wt,normal;normal;
76,928.821,133.483,109.231,1072,0.78,247.505,37.615,0.22,76,3,wt,normal;normal;
77,927.724,133.347,145.67,1088,0.765,287.546,39.649,0.165,77,3,wt,normal;normal;
78,931.431,134.77100000000002,176.009,977,0.78,254.475,37.471,0.19,78,3,wt,normal;normal;
79,929.872,132.391,138.366,1187,0.765,305.103,40.96,0.16,79,3,wt,normal;normal;
80,930.292,131.68,155.659,1095,0.747,291.345,38.107,0.162,80,3,wt,normal;normal;
81,932.288,133.687,168.69,1030,0.784,259.404,38.035,0.192,81,3,wt,normal;normal;
82,930.638,132.43200000000002,128.83,1264,0.7390000000000001,349.42800000000005,43.044,0.13,82,3,wt,normal;normal;
83,929.347,130.882,164.84599999999998,1215,0.765,311.144,40.871,0.158,83,3,wt,normal;normal;
84,933.081,131.57299999999998,101.31,1014,0.75,294.1740000000001,36.698,0.147,84,3,wt,normal;normal;
85,932.863,131.066,133.315,1120,0.743,305.387,39.471,0.151,85,3,wt,normal;normal;
86,933.102,132.875,136.79,1036,0.8029999999999999,219.463,39.185,0.27,86,3,wt,normal;normal;
87,933.37,133.136,92.603,1020,0.748,277.103,37.76,0.16699999999999998,87,3,wt,normal;normal;
88,932.118,134.743,162.719,1053,0.7440000000000001,284.517,38.319,0.163,88,3,wt,normal;normal;
89,931.294,134.149,10.081,1097,0.779,267.546,40.094,0.193,89,3,wt,normal;normal;
90,930.395,133.381,153.435,1215,0.779,280.517,41.51600000000001,0.194,90,3,wt,normal;normal;
91,933.704,131.92600000000002,141.14700000000005,1076,0.769,276.86,39.811,0.17600000000000002,91,3,wt,normal;normal;
92,932.822,131.384,130.855,1243,0.768,294.032,41.477,0.181,92,3,wt,normal;normal;
93,935.619,134.68200000000002,175.236,1175,0.772,280.375,41.033,0.188,93,3,wt,normal;normal;
94,931.776,132.895,111.801,1230,0.752,320.659,41.219,0.15,94,3,wt,normal;normal;
95,934.297,131.52,146.023,1374,0.746,327.0440000000001,45.054,0.161,95,3,wt,normal;normal;
96,934.614,132.39,103.173,1164,0.77,294.274,39.885,0.16899999999999998,96,3,wt,normal;normal;
97,932.948,132.069,105.35,1266,0.747,315.872,43.122,0.159,97,3,wt,normal;normal;
98,933.214,131.069,92.246,1281,0.757,330.215,42.694,0.14800000000000002,98,3,wt,normal;normal;
99,933.721,128.986,110.433,1328,0.738,318.801,43.157,0.16399999999999998,99,3,wt,normal;normal;
100,935.409,130.575,162.64600000000004,1366,0.78,322.659,43.604,0.165,100,3,wt,normal;normal;
101,934.106,129.811,146.31,1391,0.748,307.245,45.875,0.185,101,3,wt,normal;normal;
102,931.352,126.256,127.972,1246,0.773,293.103,44.71100000000001,0.182,102,3,wt,normal;normal;
103,930.761,126.876,127.304,1438,0.774,334.215,47.006,0.162,103,3,wt,normal;normal;
104,932.371,127.711,112.166,1476,0.757,352.25699999999995,48.262,0.149,104,3,wt,normal;normal;
105,930.772,126.159,131.379,1500,0.7609999999999999,331.186,47.777,0.172,105,3,wt,normal;normal;
106,932.855,129.099,156.251,1435,0.742,374.156,45.381,0.129,106,3,wt,normal;normal;
107,933.44,128.556,140.711,1508,0.787,324.215,47.986,0.18,107,3,wt,normal;normal;
108,935.263,128.466,149.216,1468,0.753,375.47,46.244,0.131,108,3,wt,normal;normal;
109,933.454,129.408,101.944,1387,0.762,343.186,46.182,0.14800000000000002,109,3,wt,normal;normal;
110,933.643,127.799,139.635,1369,0.784,315.387,46.407,0.173,110,3,wt,normal;normal;
111,932.578,128.139,120.964,1364,0.787,308.902,46.021,0.18,111,3,wt,normal;normal;
112,933.82,127.322,118.443,1445,0.767,351.914,46.455,0.147,112,3,wt,normal;normal;
113,934.583,125.492,148.861,1431,0.748,377.713,47.255,0.126,113,3,wt,normal;normal;
114,932.744,123.797,160.907,1358,0.7170000000000001,351.872,44.95,0.138,114,3,wt,normal;normal;
115,934.679,127.031,157.38,1413,0.77,346.014,45.364,0.14800000000000002,115,3,wt,normal;normal;
116,934.442,127.59,158.19899999999996,1360,0.7509999999999999,320.032,45.534,0.16699999999999998,116,3,wt,normal;normal;
117,931.377,126.36,153.435,1320,0.7490000000000001,314.801,43.662,0.16699999999999998,117,3,wt,normal;normal;
118,931.811,126.431,147.2,1317,0.76,335.286,44.786,0.147,118,3,wt,normal;normal;
119,933.655,127.015,164.358,1317,0.738,325.487,44.899,0.156,119,3,wt,normal;normal;
120,934.536,129.80200000000002,139.028,1239,0.774,280.132,43.084,0.198,120,3,wt,normal;normal;
121,934.136,125.815,124.902,1284,0.758,286.759,45.337,0.196,121,3,wt,normal;normal;
122,934.278,125.048,159.829,1371,0.7709999999999999,300.416,45.745,0.191,122,3,wt,normal;normal;
123,934.333,127.692,146.592,1433,0.747,371.127,46.565,0.131,123,3,wt,normal;normal;
124,933.472,127.203,130.365,1369,0.746,334.357,45.129,0.154,124,3,wt,normal;normal;
125,933.95,126.793,135.0,1373,0.773,342.701,46.328,0.147,125,3,wt,normal;normal;
126,934.975,126.606,125.789,1327,0.779,297.688,45.312,0.188,126,3,wt,normal;normal;
127,935.876,126.454,151.049,1334,0.7509999999999999,320.215,45.602,0.163,127,3,wt,normal;normal;
128,935.409,126.365,158.405,1308,0.7609999999999999,307.387,44.822,0.174,128,3,wt,normal;normal;
129,933.42,126.472,152.447,1270,0.767,295.487,44.701,0.183,129,3,wt,normal;normal;
130,934.97,125.958,103.173,1205,0.7829999999999999,276.032,42.75899999999999,0.199,130,3,wt,normal;normal;
131,935.686,126.368,150.832,1198,0.7659999999999999,292.1740000000001,42.573,0.17600000000000002,131,3,wt,normal;normal;
132,937.138,127.118,156.03799999999995,1237,0.755,299.002,43.01300000000001,0.174,132,3,wt,normal;
133,935.997,127.194,101.944,1309,0.755,303.831,45.51600000000001,0.17800000000000002,133,3,wt,normal;normal;
134,934.955,127.436,110.171,1254,0.75,336.801,45.361,0.139,134,3,wt,normal;normal;
135,936.278,125.545,125.272,1250,0.7490000000000001,318.115,43.81399999999999,0.155,135,3,wt,normal;normal;
136,937.961,125.521,137.42,1209,0.769,322.801,43.608,0.146,136,3,wt,normal;
137,935.362,124.726,132.51,1149,0.745,289.203,41.667,0.173,137,3,wt,normal;normal;
138,936.383,124.371,136.591,1221,0.748,317.387,43.291,0.152,138,3,wt,normal;normal;
139,936.107,124.472,127.304,1270,0.74,346.458,44.492,0.133,139,3,wt,normal;normal;
140,935.189,124.025,154.486,1217,0.797,275.789,43.139,0.201,140,3,wt,normal;normal;
141,934.518,122.876,116.075,1249,0.752,352.357,43.777,0.126,141,3,wt,normal;normal;
142,934.194,121.568,91.123,1217,0.747,313.73,43.545,0.155,142,3,wt,normal;normal;
143,934.907,122.318,141.52,1206,0.79,265.647,43.239,0.215,143,3,wt,normal;normal;
144,934.165,123.76,132.58,1224,0.753,271.061,43.119,0.209,144,3,wt,normal;normal;
145,933.369,123.486,150.39600000000004,1193,0.7759999999999999,312.659,42.338,0.153,145,3,wt,normal;normal;
146,933.868,122.783,127.349,1156,0.802,262.132,41.725,0.211,146,3,wt,normal;normal;
147,932.751,122.426,155.556,1140,0.7559999999999999,324.902,41.682,0.136,147,3,wt,normal;normal;
148,933.88,121.058,157.109,1188,0.7559999999999999,277.889,42.267,0.193,148,3,wt,normal;normal;
149,934.783,120.785,132.58,1150,0.7659999999999999,282.475,41.495,0.181,149,3,wt,normal;normal;
150,932.334,120.74,164.84599999999998,1185,0.76,293.588,41.562,0.173,150,3,wt,normal;normal;
151,934.213,122.487,114.075,1163,0.7490000000000001,291.831,42.224,0.172,151,3,wt,normal;normal;
152,932.488,123.183,146.31,1088,0.745,291.688,40.082,0.161,152,3,wt,normal;normal;
153,933.679,123.565,130.601,1024,0.762,265.404,39.564,0.183,153,3,wt,normal;normal;
154,934.154,124.712,108.435,1026,0.7240000000000001,316.801,39.305,0.128,154,3,wt,normal;normal;
155,934.292,123.24,117.121,989,0.7609999999999999,259.061,39.311,0.185,155,3,wt,normal;normal;
156,933.708,122.531,127.117,1080,0.7609999999999999,275.103,40.151,0.179,156,3,wt,normal;normal;
157,931.707,122.939,151.928,1235,0.733,352.357,42.666,0.125,157,3,wt,normal;normal;
158,932.035,121.752,142.651,985,0.777,231.848,39.341,0.23,158,3,wt,normal;normal;
159,932.057,120.781,123.341,1010,0.767,272.818,38.867,0.171,159,3,wt,normal;normal;
160,934.249,122.955,136.736,1077,0.765,282.032,40.49,0.17,160,3,wt,normal;normal;
161,934.27,121.6,163.54,980,0.7659999999999999,252.233,38.889,0.194,161,3,wt,normal;normal;
162,935.347,121.857,129.644,1045,0.79,230.43400000000003,39.162,0.247,162,3,wt,normal;normal;
163,936.827,122.58,143.366,1018,0.78,239.848,39.336,0.222,163,3,wt,normal;
164,936.656,122.833,135.0,1070,0.755,266.132,40.037,0.19,164,3,wt,normal;normal;
165,936.257,122.933,104.036,987,0.775,267.30400000000003,38.658,0.174,165,3,wt,normal;normal;
166,935.819,122.416,117.15,956,0.767,286.032,37.489,0.147,166,3,wt,normal;normal;
167,934.944,122.121,136.591,1141,0.725,344.6,41.357,0.121,167,3,wt,normal;normal;
168,935.33,122.049,111.801,1115,0.767,279.931,41.576,0.179,168,3,wt,normal;normal;
169,935.425,121.153,148.241,1082,0.736,268.86,40.241,0.188,169,3,wt,normal;normal;
170,935.77,119.305,147.724,1020,0.768,287.931,38.779,0.155,170,3,wt,normal;normal;
171,935.388,120.713,155.556,977,0.768,230.09,38.276,0.232,171,3,wt,normal;normal;
172,936.391,122.71,128.29,1155,0.745,325.772,40.617,0.13699999999999998,172,3,wt,normal;normal;
173,938.111,120.599,74.539,1145,0.76,273.446,40.24,0.192,173,3,wt,normal;
174,936.436,121.719,157.55700000000004,1055,0.72,307.345,39.584,0.14,174,3,wt,normal;normal;
175,935.988,120.817,124.778,962,0.7709999999999999,245.505,38.103,0.201,175,3,wt,normal;normal;
176,935.742,122.598,144.904,1055,0.782,247.262,39.411,0.217,176,3,wt,normal;normal;
177,933.989,119.78,139.028,1111,0.742,289.546,40.359,0.16699999999999998,177,3,wt,normal;normal;
178,935.331,122.265,143.80700000000004,964,0.711,272.617,39.3,0.163,178,3,wt,normal;normal;
179,934.356,121.922,118.142,1084,0.725,302.416,40.149,0.149,179,3,wt,normal;normal;
180,932.76,121.778,109.134,1226,0.7140000000000001,363.186,42.793,0.117,180,3,wt,normal;normal;
181,935.284,122.193,120.964,1000,0.747,260.475,38.794,0.185,181,3,wt,normal;normal;
1,923.857,657.295,104.5,1716,0.775,369.328,50.903,0.158,1,4,wt,normal;
2,927.796,663.783,84.094,1691,0.78,338.458,49.855,0.18600000000000005,2,4,wt,normal;
3,935.983,670.253,53.13,1545,0.775,340.115,45.643,0.168,3,4,wt,normal;
4,941.856,673.382,66.666,1589,0.799,332.357,48.292,0.181,4,4,wt,normal;
5,945.587,681.966,99.819,1488,0.769,360.742,45.89100000000001,0.14400000000000002,5,4,wt,normal;
6,944.44,685.408,72.255,1529,0.79,322.316,45.57100000000001,0.185,6,4,wt,normal;
7,945.41,691.112,67.98899999999999,1346,0.7659999999999999,318.902,43.577,0.166,7,4,wt,normal;
8,948.7,691.138,57.68,1716,0.77,347.671,48.913,0.17800000000000002,8,4,wt,normal;
9,949.073,692.539,92.121,1478,0.759,330.55800000000005,46.422,0.17,9,4,wt,normal;
10,950.921,696.957,61.477,1419,0.7559999999999999,362.742,44.945,0.136,10,4,wt,normal;
11,947.484,699.79,83.15700000000002,1291,0.778,310.801,42.07899999999999,0.168,11,4,wt,normal;
12,940.34,703.8910000000002,97.815,1364,0.7859999999999999,313.73,43.081,0.174,12,4,wt,normal;
13,940.023,705.466,135.855,1238,0.782,288.86,40.217,0.18600000000000005,13,4,wt,normal;
14,935.828,705.418,84.71,1551,0.78,372.399,45.934,0.141,14,4,wt,normal;
15,934.539,707.954,65.821,1437,0.7809999999999999,322.115,44.724,0.174,15,4,wt,normal;
16,935.761,707.568,81.87,1419,0.7390000000000001,317.73,44.777,0.177,16,4,wt,normal;
17,931.435,707.63,104.931,1230,0.797,277.889,41.19300000000001,0.2,17,4,wt,normal;
18,929.558,709.784,141.843,1531,0.773,335.186,45.303,0.171,18,4,wt,_none_
19,927.008,707.8380000000002,84.71,1438,0.7559999999999999,346.6,44.881,0.15,19,4,wt,normal;
20,922.424,708.301,85.601,1377,0.787,312.902,44.229,0.177,20,4,wt,normal;
21,922.543,709.7719999999998,56.929,1344,0.77,303.831,43.015,0.183,21,4,wt,_none_
22,921.882,709.062,107.745,1423,0.799,281.061,45.655,0.226,22,4,wt,normal;
23,919.673,711.0210000000002,108.8,1327,0.7929999999999999,286.86,42.441,0.203,23,4,wt,_none_
24,916.291,709.203,39.369,1352,0.8029999999999999,273.203,44.352,0.228,24,4,wt,normal;
25,915.737,710.0,69.044,1307,0.7859999999999999,304.073,42.099,0.17800000000000002,25,4,wt,_none_
26,913.413,709.602,76.218,1467,0.779,343.42800000000005,45.733,0.156,26,4,wt,_none_
27,913.004,708.951,112.782,1484,0.769,341.872,44.328,0.16,27,4,wt,normal;
28,910.314,706.5039999999998,43.452,1396,0.755,313.345,42.727,0.179,28,4,wt,normal;
29,910.256,707.757,92.121,1445,0.795,307.487,44.279,0.192,29,4,wt,normal;
30,909.864,708.253,81.416,1490,0.7859999999999999,310.073,45.581,0.195,30,4,wt,normal;
31,906.565,707.7180000000002,58.109,1474,0.754,379.47,44.676,0.129,31,4,wt,normal;
32,904.956,705.404,85.764,1433,0.76,331.0440000000001,45.575,0.16399999999999998,32,4,wt,normal;
33,905.11,706.31,103.241,1410,0.773,333.772,45.26300000000001,0.159,33,4,wt,normal;
34,903.55,703.935,127.972,1350,0.759,327.872,42.405,0.158,34,4,wt,normal;
35,899.34,704.051,122.381,1285,0.784,257.647,41.119,0.243,35,4,wt,normal;
36,901.61,705.046,118.61,1283,0.764,333.63,42.434,0.145,36,4,wt,normal;
37,899.368,705.154,68.806,1394,0.773,299.588,44.153,0.195,37,4,wt,normal;
38,900.2189999999998,704.81,46.637,1344,0.794,295.345,42.893,0.194,38,4,wt,normal;
39,897.987,704.9169999999998,99.273,1354,0.7809999999999999,299.144,43.26600000000001,0.19,39,4,wt,normal;
40,895.635,706.288,75.964,1273,0.802,264.132,41.27,0.229,40,4,wt,normal;
41,895.284,707.837,8.13,1317,0.7609999999999999,321.973,42.604,0.16,41,4,wt,normal;
42,894.508,706.388,106.26,1298,0.755,320.558,41.861,0.159,42,4,wt,normal;
43,895.6139999999998,706.175,26.053,1162,0.754,302.902,38.868,0.159,43,4,wt,normal;
