frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle
37,546.683,477.96,28.359,1366,0.8220000000000001,271.789,61.33,0.23199999999999998,37,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
38,546.393,477.99800000000005,28.81,1326,0.826,254.475,58.602,0.257,38,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
39,546.17,478.798,26.016,1334,0.823,268.718,65.28699999999999,0.23199999999999998,39,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
40,532.636,461.57800000000003,25.833000000000002,1409,0.773,297.58799999999997,69.445,0.2,40,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
41,510.292,436.80300000000005,22.76,1689,0.685,440.039,94.488,0.11,41,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
42,520.982,444.305,28.401999999999997,1770,0.764,405.026,79.348,0.136,42,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
43,534.271,465.833,26.738000000000003,1421,0.78,294.659,67.666,0.20600000000000002,43,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
44,556.424,494.535,23.293000000000003,1680,0.675,499.29400000000004,91.833,0.085,44,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
45,568.331,515.2719999999999,19.929000000000002,1589,0.5660000000000001,568.306,101.522,0.062,45,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
46,570.499,518.563,19.46,1639,0.615,477.73699999999997,107.238,0.09,46,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
47,557.225,496.295,23.364,1342,0.66,415.026,73.133,0.098,47,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
48,534.222,461.74800000000005,30.204,1607,0.774,342.70099999999996,67.743,0.172,48,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
49,550.3,482.793,25.064,1450,0.7290000000000001,382.19800000000004,73.658,0.125,49,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
50,560.809,499.58,19.421,1518,0.649,475.838,99.51899999999999,0.084,50,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
