frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1,914.002,564.057,33.69,1136,0.718,362.642,40.435,0.109,1,4
1,826.7180000000001,748.799,136.43200000000002,1175,0.718,319.387,42.74,0.145,1,7
1,522.141,504.533,55.235,2326,0.701,589.477,91.596,0.084,1,16
1,704.7189999999999,624.661,171.46900000000002,853,0.769,222.676,34.7,0.21600000000000003,1,20
2,915.7560000000001,564.3530000000001,67.166,903,0.795,190.49200000000002,36.046,0.313,2,4
2,829.632,749.515,135.0,976,0.7929999999999999,222.19099999999997,39.716,0.248,2,7
2,704.0169999999999,623.908,160.145,743,0.805,171.179,32.089,0.319,2,20
2,511.535,512.106,50.42100000000001,1848,0.693,518.365,90.941,0.086,2,16
3,916.015,561.469,42.184,883,0.78,226.77700000000002,36.599000000000004,0.21600000000000003,3,4
3,828.3480000000001,747.172,138.945,870,0.779,223.12,35.19,0.22,3,7
3,537.814,499.63300000000004,60.803000000000004,1891,0.7659999999999999,392.784,68.482,0.154,3,16
3,705.405,621.374,140.599,708,0.773,200.53400000000002,32.339,0.221,3,20
4,917.9830000000001,560.489,32.125,1117,0.7140000000000001,314.17400000000004,39.318000000000005,0.142,4,4
4,828.06,744.435,123.977,1227,0.6679999999999999,403.754,43.723,0.095,4,7
4,565.576,471.176,35.242,2659,0.718,571.235,96.977,0.102,4,16
4,708.0830000000001,619.799,120.53,899,0.723,285.44599999999997,37.948,0.139,4,20
5,827.9010000000001,744.063,143.13,1186,0.695,361.914,41.067,0.114,5,7
5,916.5939999999999,561.205,93.57600000000001,1135,0.7659999999999999,309.245,41.153,0.149,5,4
5,707.817,620.076,146.31,878,0.746,259.789,35.797,0.163,5,20
5,562.4490000000001,474.649,31.759,2646,0.759,584.8330000000001,90.38799999999999,0.09699999999999999,5,16
6,828.953,745.388,117.051,1108,0.687,356.5,39.718,0.11,6,7
6,916.067,560.578,16.113,1090,0.73,279.44599999999997,39.512,0.175,6,4
6,708.63,618.013,120.735,830,0.732,248.233,36.148,0.16899999999999998,6,20
6,545.658,496.63,62.063,2228,0.7559999999999999,490.566,65.81,0.11599999999999999,6,16
7,917.0369999999999,560.986,71.99600000000001,887,0.7909999999999999,230.19099999999997,36.882,0.21,7,4
7,832.46,745.5939999999999,120.964,904,0.774,211.463,37.542,0.254,7,7
7,711.4119999999999,616.846,147.171,712,0.7609999999999999,210.049,32.149,0.203,7,20
7,505.57300000000004,525.961,58.768,1630,0.687,498.32300000000004,102.35799999999999,0.08199999999999999,7,16
8,920.1030000000001,558.835,129.806,819,0.774,231.84799999999998,33.988,0.191,8,4
8,834.2769999999999,744.487,152.819,901,0.792,233.94799999999998,35.653,0.207,8,7
8,710.39,616.453,13.325,716,0.797,182.735,34.2,0.26899999999999996,8,20
8,489.86199999999997,533.081,58.69,1578,0.635,471.352,94.242,0.08900000000000001,8,16
9,833.961,742.6419999999999,171.085,1135,0.7040000000000001,327.286,40.711,0.133,9,7
9,922.046,556.5980000000001,29.291,1107,0.748,315.04400000000004,40.137,0.14,9,4
9,504.93800000000005,526.443,62.301,1944,0.6779999999999999,453.897,72.503,0.11900000000000001,9,16
9,712.7080000000001,616.09,9.462,880,0.753,273.44599999999997,35.272,0.14800000000000002,9,20
10,920.3739999999999,557.297,69.146,928,0.763,238.919,40.138000000000005,0.204,10,4
10,834.2769999999999,743.826,155.32299999999998,835,0.774,223.019,33.841,0.21100000000000002,10,7
10,712.8739999999999,616.557,170.78900000000002,698,0.7809999999999999,182.593,32.553000000000004,0.263,10,20
10,551.49,486.527,44.333999999999996,1918,0.6679999999999999,509.495,115.536,0.09300000000000001,10,16
11,921.459,556.276,39.958,1092,0.753,291.345,40.889,0.162,11,4
11,835.456,742.778,123.99600000000001,1150,0.708,367.81300000000005,41.818000000000005,0.107,11,7
11,567.814,468.435,41.785,2590,0.631,720.171,104.37200000000001,0.063,11,16
11,710.888,616.979,36.607,927,0.715,250.81799999999998,37.476,0.185,11,20
12,919.913,556.453,72.3,1081,0.701,330.215,41.195,0.125,12,4
12,835.7260000000001,742.3789999999999,146.634,1073,0.726,292.17400000000004,38.613,0.158,12,7
12,712.5260000000001,614.831,140.013,836,0.785,223.84799999999998,34.687,0.21,12,20
12,543.7280000000001,493.64099999999996,49.028,2312,0.7,613.1759999999999,90.28,0.077,12,16
13,836.166,739.1560000000001,114.444,1098,0.7140000000000001,299.688,39.791,0.154,13,7
13,923.612,553.715,66.161,1072,0.731,296.96,38.953,0.153,13,4
13,713.082,613.68,10.305,895,0.753,240.919,37.33,0.19399999999999998,13,20
13,499.041,526.257,59.4,2097,0.6729999999999999,599.762,91.344,0.073,13,16
14,925.945,552.3240000000001,57.848,809,0.7809999999999999,205.706,33.318000000000005,0.24,14,4
14,837.982,738.895,4.086,875,0.753,242.233,35.258,0.187,14,7
14,506.281,523.055,61.28,1768,0.715,447.69599999999997,72.634,0.111,14,16
14,716.4630000000001,612.724,5.711,729,0.804,172.108,35.217,0.309,14,20
15,924.585,552.94,22.834,899,0.802,200.392,36.260999999999996,0.281,15,4
15,837.008,739.5939999999999,141.14700000000002,889,0.727,247.99,35.751,0.182,15,7
15,532.21,505.126,54.86600000000001,1791,0.7340000000000001,421.16900000000004,85.553,0.127,15,16
15,717.908,610.748,131.878,718,0.767,198.392,31.427,0.22899999999999998,15,20
16,837.0,738.262,169.99200000000002,1175,0.687,365.085,40.325,0.111,16,7
16,923.982,552.8580000000001,17.7,1134,0.737,306.073,41.229,0.152,16,4
16,715.862,610.393,25.346,907,0.753,260.032,35.945,0.16899999999999998,16,20
16,568.456,472.902,41.361999999999995,2634,0.705,644.431,109.40700000000001,0.08,16,16
17,924.076,551.033,28.811,1091,0.74,308.659,39.119,0.14400000000000002,17,4
17,837.2760000000001,736.31,138.366,1098,0.7390000000000001,320.45799999999997,40.415,0.134,17,7
17,714.574,611.3,22.714000000000002,927,0.7170000000000001,276.032,37.303000000000004,0.153,17,20
17,568.087,471.425,50.826,2551,0.753,544.264,98.443,0.10800000000000001,17,16
18,839.867,736.5980000000001,120.411,1148,0.7,332.801,40.813,0.13,18,7
18,923.955,551.279,22.249000000000002,979,0.6940000000000001,286.274,36.931,0.15,18,4
18,718.605,608.195,12.380999999999998,891,0.7659999999999999,248.81799999999998,35.593,0.18100000000000002,18,20
18,547.672,489.56199999999995,49.763999999999996,2289,0.733,485.93800000000005,76.32600000000001,0.122,18,16
19,924.9010000000001,552.569,16.46,880,0.722,252.81799999999998,36.598,0.17300000000000001,19,4
19,841.0039999999999,735.444,155.77200000000002,907,0.7340000000000001,249.747,35.989000000000004,0.183,19,7
19,716.4069999999999,609.069,24.101999999999997,766,0.78,214.635,34.961999999999996,0.209,19,20
19,498.88599999999997,519.372,69.38600000000001,1779,0.6629999999999999,544.607,104.068,0.075,19,16
20,840.3910000000001,733.159,32.735,1127,0.696,372.399,38.309,0.102,20,7
20,925.9630000000001,550.23,28.706,1007,0.759,240.919,38.486,0.218,20,4
20,716.525,609.1669999999999,7.765,930,0.7659999999999999,236.43400000000003,37.225,0.209,20,20
20,511.87300000000005,514.5409999999999,65.556,2248,0.7390000000000001,552.992,92.865,0.092,20,16
21,926.2710000000001,549.307,32.661,1057,0.7290000000000001,280.17400000000004,39.504,0.16899999999999998,21,4
21,840.92,733.893,122.735,1137,0.6829999999999999,393.61199999999997,39.141999999999996,0.092,21,7
21,717.699,608.745,7.765,910,0.7290000000000001,283.44599999999997,36.092,0.142,21,20
21,531.922,501.81,60.945,2025,0.7190000000000001,508.32300000000004,65.979,0.098,21,16
22,924.6039999999999,551.18,37.349000000000004,1050,0.7490000000000001,287.58799999999997,40.126,0.16,22,4
22,841.695,735.265,95.492,1101,0.72,310.902,41.718,0.14300000000000002,22,7
22,717.398,607.7080000000001,94.399,851,0.773,216.53400000000002,33.704,0.228,22,20
22,548.414,488.458,52.696000000000005,2281,0.6890000000000001,648.632,95.259,0.068,22,16
23,840.248,734.047,150.832,1080,0.725,321.245,39.326,0.132,23,7
23,924.5239999999999,550.054,17.281,1016,0.7390000000000001,285.83099999999996,37.466,0.156,23,4
23,716.319,607.116,13.392000000000001,868,0.7559999999999999,214.19099999999997,36.199,0.23800000000000002,23,20
23,573.364,461.223,41.711000000000006,2447,0.6940000000000001,691.7860000000001,108.57600000000001,0.064,23,16
