frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1,990.528,967.88,139.686,901,0.7959999999999999,206.877,36.152,0.265,1,2
1,992.655,777.9,138.27,1249,0.7659999999999999,314.073,41.687,0.159,1,3
1,930.3760000000001,759.622,80.707,1461,0.752,332.458,45.505,0.166,1,5
1,802.949,472.01800000000003,158.19899999999998,2059,0.787,423.411,54.042,0.14400000000000002,1,10
1,779.0830000000001,879.398,144.46200000000002,876,0.736,240.576,34.809,0.19,1,11
1,760.056,119.51299999999999,79.592,1233,0.762,333.529,42.777,0.139,1,12
1,745.279,258.096,120.46600000000001,1928,0.79,408.48199999999997,50.878,0.145,1,15
1,665.811,150.14700000000002,74.407,986,0.75,235.16099999999997,37.169000000000004,0.22399999999999998,1,17
1,384.191,217.43200000000002,115.90700000000001,767,0.799,181.421,33.891999999999996,0.293,1,20
1,396.36800000000005,894.985,29.055,507,0.8290000000000001,123.338,27.768,0.419,1,21
1,432.99699999999996,131.115,34.875,884,0.804,216.43400000000003,33.766999999999996,0.237,1,22
1,437.722,586.115,37.999,901,0.8009999999999999,217.706,34.693000000000005,0.239,1,23
1,514.989,515.246,138.281,3307,0.7240000000000001,640.431,93.44,0.10099999999999999,1,24
1,615.6080000000001,781.35,24.075,1276,0.7609999999999999,300.316,42.613,0.17800000000000002,1,27
1,653.711,541.5930000000001,132.563,1960,0.721,479.93800000000005,54.023,0.107,1,28
1,669.1189999999999,311.847,113.009,1744,0.7829999999999999,370.156,73.566,0.16,1,29
1,654.9630000000001,425.856,157.286,1034,0.7390000000000001,260.33299999999997,40.05,0.192,1,30
2,761.2439999999999,120.104,151.189,1155,0.7829999999999999,284.517,38.981,0.179,2,12
2,774.112,880.7669999999999,37.147,854,0.7829999999999999,223.94799999999998,37.004,0.214,2,11
2,931.3889999999999,759.107,125.166,1380,0.741,349.286,42.863,0.142,2,5
2,991.8480000000001,969.003,145.491,843,0.799,197.22,34.775,0.272,2,2
2,995.148,776.382,175.135,1170,0.7609999999999999,275.203,40.361,0.19399999999999998,2,3
2,746.187,258.60400000000004,119.51100000000001,1933,0.77,443.45300000000003,51.433,0.124,2,15
2,804.9830000000001,472.344,139.128,2028,0.745,422.098,53.876999999999995,0.14300000000000002,2,10
2,667.665,150.041,9.689,940,0.789,227.605,36.334,0.228,2,17
2,387.086,220.81900000000002,53.13,766,0.787,177.179,32.842,0.307,2,20
