frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1,961.5239999999999,93.626,157.62,1481,0.753,363.57099999999997,46.403999999999996,0.141,1,3
1,923.857,657.295,104.5,1716,0.775,369.32800000000003,50.903,0.158,1,4
1,668.705,947.747,162.35,1114,0.78,277.203,39.661,0.182,1,8
1,550.79,913.34,76.373,582,0.758,173.179,29.194000000000003,0.244,1,13
1,197.622,609.803,109.09299999999999,1506,0.7879999999999999,320.902,46.881,0.184,1,15
1,199.50900000000001,185.655,2.7260000000000004,925,0.794,233.019,37.429,0.214,1,17
1,155.611,742.942,10.008,1270,0.7290000000000001,350.5,42.527,0.13,1,19
1,320.823,882.6489999999999,105.64200000000001,1272,0.746,306.517,42.577,0.17,1,24
2,671.577,948.948,157.109,1206,0.7809999999999999,287.931,43.103,0.183,2,8
2,967.419,97.382,158.19899999999998,1498,0.758,330.55800000000005,46.578,0.172,2,3
2,927.796,663.783,84.094,1691,0.78,338.458,49.855,0.18600000000000003,2,4
2,555.016,918.4019999999999,131.76,645,0.754,186.392,32.551,0.233,2,13
2,158.13299999999998,748.77,38.955999999999996,1505,0.715,430.48199999999997,49.795,0.102,2,19
2,200.52200000000002,615.8969999999999,96.882,1695,0.7559999999999999,395.61199999999997,49.191,0.136,2,15
2,202.357,190.608,168.44,1032,0.777,259.889,37.545,0.192,2,17
2,326.121,887.1060000000001,103.069,1415,0.731,407.269,46.571000000000005,0.107,2,24
3,972.357,100.98,132.64700000000002,1374,0.7859999999999999,308.073,44.988,0.182,3,3
3,935.9830000000001,670.253,53.13,1545,0.775,340.115,45.643,0.168,3,4
3,679.795,952.14,140.964,1097,0.773,248.576,41.688,0.223,3,8
3,564.566,925.7489999999999,127.875,546,0.769,168.593,28.916999999999998,0.24100000000000002,3,13
3,166.46,752.7230000000001,51.498999999999995,1340,0.701,411.754,44.403999999999996,0.099,3,19
3,206.47299999999998,618.745,82.61399999999999,1566,0.7759999999999999,352.6,47.656000000000006,0.158,3,15
3,209.97400000000002,195.611,101.31,944,0.7979999999999999,200.635,35.729,0.295,3,17
3,333.833,892.995,100.40799999999999,1267,0.787,294.274,41.978,0.184,3,24
4,974.505,107.665,149.589,1459,0.79,320.558,46.107,0.17800000000000002,4,3
4,941.8560000000001,673.382,66.666,1589,0.799,332.35699999999997,48.292,0.18100000000000002,4,4
4,682.575,958.074,118.706,1140,0.787,256.718,40.349000000000004,0.217,4,8
4,563.775,930.9839999999999,77.471,612,0.7509999999999999,183.80599999999998,32.373000000000005,0.228,4,13
4,169.958,757.669,30.410999999999998,1390,0.74,380.642,44.696999999999996,0.121,4,19
4,211.046,625.056,95.29,1547,0.775,323.973,46.772,0.185,4,15
4,336.39,898.395,113.962,1368,0.741,356.25699999999995,45.288999999999994,0.135,4,24
4,212.767,200.778,82.057,986,0.777,215.362,36.952,0.267,4,17
5,574.697,937.461,97.90700000000001,544,0.716,168.35,28.179000000000002,0.24100000000000002,5,13
5,982.262,114.973,93.066,1389,0.763,298.759,45.195,0.196,5,3
5,945.587,681.966,99.819,1488,0.769,360.74199999999996,45.891000000000005,0.14400000000000002,5,4
5,690.165,964.8560000000001,10.081,1043,0.764,284.274,37.826,0.162,5,8
5,341.639,903.972,111.413,1270,0.728,328.902,42.786,0.14800000000000002,5,24
5,218.347,206.998,42.184,972,0.795,232.53400000000002,35.993,0.226,5,17
5,216.757,629.293,109.79899999999999,1415,0.797,317.387,45.118,0.177,5,15
5,175.78799999999998,762.5939999999999,66.251,1299,0.705,347.772,43.417,0.135,5,19
6,689.5269999999999,970.863,170.34,1093,0.752,288.86,40.03,0.165,6,8
6,944.44,685.408,72.255,1529,0.79,322.316,45.571000000000005,0.185,6,4
6,982.561,120.605,129.289,1490,0.7909999999999999,320.558,46.758,0.182,6,3
6,571.113,940.1,111.501,587,0.745,199.66400000000002,28.641,0.185,6,13
6,340.603,909.582,107.354,1305,0.758,341.529,43.665,0.141,6,24
6,217.636,211.797,49.68600000000001,1029,0.782,260.96,36.913000000000004,0.19,6,17
6,215.83700000000002,634.2330000000001,85.764,1541,0.7759999999999999,316.316,46.498000000000005,0.19399999999999998,6,15
6,175.021,767.954,45.0,1358,0.7120000000000001,341.772,45.843,0.146,6,19
7,687.873,972.123,137.643,942,0.78,233.019,37.33,0.218,7,8
7,945.41,691.112,67.98899999999999,1346,0.7659999999999999,318.902,43.577,0.166,7,4
7,981.082,121.215,129.523,1328,0.759,331.87199999999996,43.784,0.152,7,3
7,572.076,947.939,66.37100000000001,519,0.774,141.238,29.518,0.327,7,13
7,341.01800000000003,912.071,95.492,1190,0.762,297.487,41.986999999999995,0.16899999999999998,7,24
7,218.52,214.268,78.959,951,0.797,210.877,36.374,0.26899999999999996,7,17
7,216.73,639.036,102.90700000000001,1372,0.81,288.517,42.45,0.207,7,15
7,175.351,771.018,31.139,1254,0.722,324.70099999999996,44.751000000000005,0.149,7,19
8,691.15,971.822,163.74,1191,0.763,279.345,42.458,0.192,8,8
8,986.3439999999999,122.21,146.041,1682,0.8029999999999999,344.014,49.538000000000004,0.179,8,3
8,948.7,691.138,57.68,1716,0.77,347.671,48.913000000000004,0.17800000000000002,8,4
8,574.878,950.4110000000001,112.751,582,0.77,179.563,28.592,0.22699999999999998,8,13
8,179.291,772.7460000000001,67.865,1625,0.7190000000000001,434.725,50.396,0.10800000000000001,8,19
8,343.273,912.9989999999999,114.84200000000001,1484,0.7240000000000001,389.12699999999995,48.381,0.12300000000000001,8,24
8,222.92700000000002,215.96400000000003,76.551,1196,0.78,277.203,40.306,0.196,8,17
8,219.368,641.455,71.878,1751,0.787,377.32800000000003,49.928000000000004,0.155,8,15
9,690.541,972.1410000000001,165.06900000000002,1045,0.785,256.818,40.439,0.19899999999999998,9,8
9,949.073,692.539,92.12100000000001,1478,0.759,330.55800000000005,46.422,0.17,9,4
9,985.215,125.226,161.222,1475,0.7909999999999999,310.215,46.163999999999994,0.193,9,3
9,576.6080000000001,954.461,119.539,565,0.778,161.037,29.37,0.27399999999999997,9,13
9,342.764,917.007,106.699,1332,0.763,327.286,43.976000000000006,0.156,9,24
9,179.21099999999998,774.225,32.229,1382,0.758,312.073,46.138999999999996,0.17800000000000002,9,19
9,216.638,642.923,97.38600000000001,1521,0.7829999999999999,332.801,46.604,0.17300000000000001,9,15
9,220.71200000000002,218.72099999999998,8.471,1078,0.773,277.789,41.808,0.17600000000000002,9,17
10,566.091,960.432,69.624,585,0.763,173.765,31.228,0.243,10,13
10,950.921,696.957,61.477,1419,0.7559999999999999,362.74199999999996,44.945,0.136,10,4
10,687.938,980.7330000000001,154.537,974,0.754,251.40400000000002,37.707,0.19399999999999998,10,8
10,983.055,128.27100000000002,151.991,1376,0.778,318.416,45.158,0.171,10,3
10,342.164,921.378,134.215,1275,0.737,303.73,42.88,0.174,10,24
10,218.543,222.67,69.59,1044,0.792,254.475,38.02,0.203,10,17
10,217.113,647.8430000000001,120.01799999999999,1375,0.792,295.83099999999996,44.123000000000005,0.19699999999999998,10,15
10,179.39700000000002,777.1669999999999,50.332,1281,0.7440000000000001,345.186,45.891999999999996,0.135,10,19
11,689.6289999999999,984.3639999999999,128.454,929,0.785,248.333,35.806999999999995,0.18899999999999997,11,8
11,983.465,129.244,106.26,1296,0.7859999999999999,279.688,44.228,0.20800000000000002,11,3
11,947.4839999999999,699.79,83.15700000000001,1291,0.778,310.801,42.07899999999999,0.168,11,4
11,570.11,962.841,104.47,531,0.81,137.48,27.982,0.353,11,13
11,343.406,923.576,110.695,1144,0.7490000000000001,294.274,39.929,0.166,11,24
11,219.703,647.576,84.40100000000001,1337,0.8009999999999999,292.617,44.25,0.196,11,15
11,216.446,224.105,84.17399999999999,1040,0.7609999999999999,252.576,41.379,0.205,11,17
11,180.10299999999998,778.3510000000001,51.34,1194,0.7709999999999999,305.345,42.386,0.161,11,19
12,685.2560000000001,985.465,144.162,948,0.8009999999999999,208.635,36.804,0.27399999999999997,12,8
12,940.34,703.8910000000001,97.815,1364,0.7859999999999999,313.73,43.081,0.174,12,4
12,978.039,131.947,138.621,1437,0.765,350.35699999999997,46.02,0.147,12,3
12,571.487,966.702,79.695,539,0.7959999999999999,144.79399999999998,29.941999999999997,0.32299999999999995,12,13
12,173.391,780.3839999999999,39.369,1216,0.757,296.517,41.861999999999995,0.174,12,19
12,212.593,226.48,87.397,1057,0.7909999999999999,255.304,37.852,0.204,12,17
12,214.755,651.688,95.59899999999999,1363,0.768,326.943,43.457,0.16,12,15
12,338.21,924.7869999999999,105.461,1153,0.762,286.517,40.215,0.17600000000000002,12,24
13,978.11,132.035,153.947,1260,0.8140000000000001,253.06099999999998,43.23,0.247,13,3
13,940.023,705.466,135.855,1238,0.782,288.86,40.217,0.18600000000000003,13,4
13,686.127,988.459,156.975,849,0.7959999999999999,209.94799999999998,34.616,0.242,13,8
13,335.397,925.9989999999999,123.071,1148,0.75,280.032,44.123000000000005,0.184,13,24
13,214.771,227.97400000000002,34.778,936,0.78,243.99,36.022,0.198,13,17
13,214.50599999999997,653.1619999999999,103.76100000000001,1201,0.753,289.931,41.075,0.18,13,15
13,174.847,781.804,23.839000000000002,1107,0.746,279.688,39.779,0.17800000000000002,13,19
14,679.784,989.5269999999999,163.072,1115,0.767,260.96,40.641999999999996,0.20600000000000002,14,8
14,935.828,705.418,84.71,1551,0.78,372.399,45.934,0.141,14,4
14,973.92,133.935,142.92700000000002,1603,0.7829999999999999,337.63,48.45,0.177,14,3
14,562.514,970.562,104.421,578,0.731,183.907,29.66,0.215,14,13
14,168.245,784.673,45.0,1448,0.728,423.311,46.974,0.102,14,19
14,205.62099999999998,653.962,104.79700000000001,1494,0.767,336.6,46.176,0.166,14,15
14,330.10400000000004,925.6439999999999,140.064,1383,0.752,321.872,46.013000000000005,0.168,14,24
14,209.364,228.13400000000001,56.004,1195,0.742,324.45799999999997,40.848,0.14300000000000002,14,17
15,972.8760000000001,135.747,164.93200000000002,1541,0.778,333.286,47.74,0.174,15,3
15,934.539,707.954,65.821,1437,0.7809999999999999,322.115,44.724,0.174,15,4
15,676.2639999999999,990.15,71.565,1051,0.754,283.83099999999996,38.016999999999996,0.16399999999999998,15,8
15,557.189,971.753,122.735,553,0.8029999999999999,148.79399999999998,29.991,0.314,15,13
15,166.862,785.2,21.413,1334,0.722,346.843,44.38,0.139,15,19
15,205.12599999999998,654.845,105.068,1421,0.772,325.387,45.24100000000001,0.16899999999999998,15,15
15,207.14,230.076,55.305,1121,0.782,280.86,39.146,0.179,15,17
15,330.455,928.304,114.075,1278,0.78,272.132,43.736000000000004,0.217,15,24
16,676.002,990.538,155.556,1091,0.7909999999999999,241.40400000000002,39.762,0.235,16,8
16,975.125,136.201,152.049,1449,0.7879999999999999,324.902,47.071999999999996,0.172,16,3
