frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1,769.4730000000001,318.72,105.803,1471,0.769,317.63,46.498999999999995,0.183,1,1
1,814.898,232.358,74.055,648,0.774,177.078,32.506,0.26,1,3
1,831.694,494.079,114.963,2037,0.754,459.796,54.49,0.121,1,4
1,867.562,167.92700000000002,87.337,960,0.787,238.333,36.984,0.212,1,6
1,890.9680000000001,580.0369999999999,53.427,2624,0.76,512.323,66.626,0.126,1,7
1,950.5239999999999,913.791,164.476,1421,0.743,373.57099999999997,45.577,0.128,1,11
1,670.768,609.475,103.736,1069,0.76,246.333,41.617,0.221,1,22
1,680.335,189.717,129.289,1415,0.795,288.375,49.215,0.214,1,23
1,301.712,515.586,126.119,1121,0.7809999999999999,263.203,38.516,0.203,1,27
1,393.23199999999997,823.834,159.444,1011,0.809,223.362,37.324,0.255,1,29
1,406.832,234.37400000000002,55.008,698,0.7859999999999999,174.93599999999998,33.483000000000004,0.287,1,31
1,432.176,350.598,59.3,756,0.8,194.149,31.94,0.252,1,32
1,478.041,590.43,160.253,896,0.8270000000000001,192.149,35.195,0.305,1,34
1,654.422,775.721,38.29,1192,0.746,288.517,39.625,0.18,1,35
1,592.456,228.002,98.13,846,0.722,263.30400000000003,35.483000000000004,0.153,1,37
1,580.898,273.98,110.225,915,0.7759999999999999,244.333,34.421,0.193,1,38
1,686.186,476.026,47.653999999999996,3769,0.773,685.443,96.036,0.10099999999999999,1,39
1,498.121,243.328,115.94200000000001,920,0.815,204.635,36.793,0.276,1,41
1,543.4019999999999,348.413,174.80599999999998,528,0.742,187.078,28.285,0.19,1,42
2,770.8580000000001,319.503,106.50399999999999,1595,0.782,323.73,49.349,0.191,2,1
2,812.3789999999999,234.653,108.925,719,0.82,172.83599999999998,33.788000000000004,0.302,2,3
2,832.1110000000001,495.839,126.34700000000001,2123,0.747,498.566,55.071000000000005,0.107,2,4
2,867.942,170.003,138.468,983,0.7709999999999999,233.99,39.437,0.226,2,6
2,892.194,581.624,42.42100000000001,2759,0.75,545.9209999999999,69.435,0.11599999999999999,2,7
2,952.3760000000001,915.727,23.334,1479,0.754,374.884,45.415,0.132,2,11
2,670.1510000000001,608.877,56.63399999999999,1115,0.728,280.86,41.05,0.17800000000000002,2,22
2,680.33,189.56099999999998,109.72200000000001,1452,0.753,313.83099999999996,45.937,0.185,2,23
2,302.276,517.446,128.66,1212,0.7659999999999999,313.144,41.495,0.155,2,27
2,396.039,826.071,122.005,1086,0.755,272.96,37.668,0.183,2,29
2,410.405,234.856,124.509,728,0.78,188.735,32.042,0.257,2,31
2,690.7660000000001,472.89300000000003,50.528,4124,0.773,732.6560000000001,98.16799999999999,0.09699999999999999,2,39
2,480.001,591.1659999999999,145.561,945,0.7929999999999999,226.19099999999997,36.681,0.23199999999999998,2,34
2,500.19800000000004,244.13,102.381,976,0.856,183.421,37.363,0.365,2,41
2,547.999,349.892,17.354,567,0.795,144.55100000000002,29.69,0.341,2,42
2,581.893,274.33799999999997,170.96099999999998,1027,0.797,223.463,37.841,0.258,2,38
2,593.105,229.75400000000002,54.324,866,0.7390000000000001,271.889,37.147,0.147,2,37
2,656.98,775.367,169.796,1284,0.762,311.144,41.836999999999996,0.16699999999999998,2,35
2,433.76099999999997,353.941,136.042,783,0.7759999999999999,208.877,32.632,0.226,2,32
3,867.253,169.57,146.31,982,0.8,240.919,37.211999999999996,0.213,3,6
3,832.034,496.56800000000004,108.712,2062,0.75,448.281,54.351000000000006,0.129,3,4
3,766.7280000000001,320.214,62.049,1502,0.782,317.73,47.956,0.187,3,1
3,891.48,582.126,41.934,2741,0.768,495.495,68.539,0.14,3,7
3,813.328,234.046,124.59200000000001,632,0.787,171.421,30.891,0.27,3,3
3,950.185,915.579,9.62,1544,0.735,456.38199999999995,48.255,0.09300000000000001,3,11
3,680.428,189.179,141.17,1422,0.7759999999999999,295.345,45.181999999999995,0.205,3,23
3,433.852,354.756,83.83,749,0.8140000000000001,174.83599999999998,31.694000000000003,0.308,3,32
3,658.0319999999999,771.444,163.74,1290,0.779,284.17400000000004,41.708999999999996,0.201,3,35
3,302.672,516.168,114.944,1189,0.758,298.659,40.313,0.168,3,27
3,394.593,824.8439999999999,151.69899999999998,1025,0.8109999999999999,216.049,37.455999999999996,0.276,3,29
3,408.401,232.787,67.01100000000001,735,0.812,180.593,31.261,0.28300000000000003,3,31
3,669.077,610.518,129.644,1108,0.795,232.676,40.454,0.257,3,22
3,478.105,591.735,145.125,910,0.8190000000000001,181.765,36.188,0.34600000000000003,3,34
3,500.38300000000004,248.378,156.80100000000002,988,0.813,216.53400000000002,40.756,0.265,3,41
3,543.946,350.42,20.555999999999997,588,0.8029999999999999,139.966,29.386,0.377,3,42
3,583.681,277.361,7.275,1022,0.7859999999999999,249.889,38.671,0.20600000000000002,3,38
3,591.325,226.673,37.147,861,0.755,245.262,35.191,0.18,3,37
3,676.062,484.207,54.335,3753,0.746,646.0459999999999,86.09899999999999,0.113,3,39
4,867.711,166.88400000000001,113.35600000000001,1006,0.797,229.94799999999998,38.549,0.239,4,6
4,834.5060000000001,494.469,139.399,2105,0.768,463.009,54.703,0.12300000000000001,4,4
4,816.586,232.84099999999998,113.199,665,0.741,174.007,30.67,0.276,4,3
4,770.0930000000001,318.86400000000003,83.774,1502,0.792,318.416,46.758,0.18600000000000003,4,1
4,893.4060000000001,585.03,40.156,2902,0.746,552.649,72.467,0.11900000000000001,4,7
