frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1,665.253,284.594,29.421999999999997,794,0.775,211.12,34.36,0.22399999999999998,1,4
1,894.9780000000001,403.25300000000004,34.711,1027,0.742,265.889,37.672,0.183,1,6
2,895.7769999999999,402.98,34.965,1004,0.72,287.789,36.56,0.152,2,6
2,667.428,283.711,29.973000000000003,797,0.753,206.53400000000002,33.857,0.235,2,4
3,897.118,401.98699999999997,34.977,1018,0.733,300.759,37.058,0.141,3,6
3,668.362,283.685,30.859,812,0.753,215.463,33.503,0.22,3,4
4,900.168,404.343,34.135,991,0.74,253.06099999999998,36.964,0.19399999999999998,4,6
4,671.3430000000001,283.04400000000004,29.041999999999998,783,0.755,233.84799999999998,34.328,0.18,4,4
5,900.2919999999999,404.80300000000005,38.941,1257,0.745,313.387,41.1,0.161,5,6
5,675.176,284.257,31.778000000000002,922,0.774,215.463,36.941,0.25,5,4
5,562.844,473.231,22.918000000000003,1158,0.562,437.311,64.333,0.076,5,12
6,897.299,402.93800000000005,37.02,1245,0.7290000000000001,300.17400000000004,42.82,0.174,6,6
6,541.471,474.86300000000006,22.087,885,0.713,268.132,51.018,0.155,6,12
6,674.873,283.584,31.269000000000002,891,0.767,246.233,36.28,0.185,6,4
7,675.183,283.471,28.906,755,0.778,188.392,33.256,0.267,7,4
7,900.3839999999999,402.305,34.175,977,0.79,215.706,36.4,0.264,7,6
8,900.867,400.52099999999996,37.821,1256,0.735,331.286,42.283,0.14400000000000002,8,6
8,675.45,283.072,31.353,909,0.7340000000000001,283.44599999999997,36.915,0.142,8,4
8,515.831,480.327,17.967,706,0.62,297.245,50.03,0.1,8,12
9,901.797,400.619,36.545,1218,0.733,362.5,42.435,0.11599999999999999,9,6
9,678.29,282.86400000000003,31.272,926,0.754,258.475,37.701,0.174,9,4
9,520.5319999999999,476.189,28.485,1013,0.7509999999999999,225.605,45.278999999999996,0.25,9,12
10,903.914,401.38300000000004,38.141999999999996,1270,0.716,346.215,42.394,0.133,10,6
10,677.03,281.945,32.149,913,0.743,246.576,36.159,0.18899999999999997,10,4
10,551.384,468.972,18.561,1037,0.517,529.578,71.134,0.046,10,12
11,904.949,400.836,37.086999999999996,1208,0.72,346.014,41.472,0.127,11,6
11,674.445,279.009,33.098,912,0.7440000000000001,292.759,35.084,0.134,11,4
11,578.4169999999999,473.29699999999997,21.281,1310,0.45,578.7909999999999,78.377,0.049,11,12
12,906.592,400.14,38.59,1255,0.6890000000000001,347.085,41.407,0.131,12,6
12,674.377,277.452,32.553000000000004,920,0.747,245.16099999999997,35.983000000000004,0.192,12,4
12,580.92,470.20599999999996,25.252,1575,0.537,522.85,79.415,0.07200000000000001,12,12
13,908.178,397.70300000000003,38.207,1247,0.728,358.399,41.556000000000004,0.122,13,6
13,678.9910000000001,277.694,32.216,952,0.7340000000000001,268.718,37.625,0.166,13,4
13,562.7280000000001,464.80300000000005,26.304000000000002,1332,0.725,405.16900000000004,64.475,0.102,13,12
14,908.655,398.199,33.626,955,0.759,229.94799999999998,36.161,0.22699999999999998,14,6
14,547.163,464.88300000000004,20.072,671,0.652,294.517,42.56399999999999,0.09699999999999999,14,12
14,679.763,277.211,28.035999999999998,748,0.77,198.735,33.97,0.23800000000000002,14,4
15,910.455,396.724,38.172,1222,0.711,371.47,40.76,0.111,15,6
15,678.8739999999999,275.889,33.145,894,0.723,255.747,34.342,0.172,15,4
15,534.998,468.24,22.59,1268,0.626,423.897,71.47,0.08900000000000001,15,12
16,677.802,274.409,32.828,927,0.728,257.889,35.954,0.175,16,4
16,909.676,396.23900000000003,38.227,1253,0.7290000000000001,321.58799999999997,41.733999999999995,0.152,16,6
16,537.697,466.14,28.053,1343,0.725,339.529,60.955,0.146,16,12
17,679.632,275.08799999999997,33.21,934,0.743,272.132,35.809,0.158,17,4
17,909.7810000000001,396.658,38.341,1204,0.758,292.517,39.983000000000004,0.177,17,6
17,568.549,461.66,21.721,1604,0.626,524.808,94.021,0.073,17,12
18,912.967,395.51199999999994,36.704,1187,0.703,348.014,41.176,0.12300000000000001,18,6
18,681.329,276.342,33.719,934,0.7290000000000001,267.546,35.268,0.16399999999999998,18,4
18,578.914,463.615,22.807,1823,0.638,531.193,101.774,0.081,18,12
19,912.877,394.514,38.033,1236,0.782,251.06099999999998,41.378,0.24600000000000002,19,6
19,681.427,275.46299999999997,32.832,927,0.746,307.345,35.949,0.12300000000000001,19,4
19,575.6419999999999,461.33099999999996,28.288,1943,0.665,516.164,87.456,0.092,19,12
20,911.2080000000001,392.735,37.083,1218,0.733,320.073,41.82,0.149,20,6
20,682.977,273.765,33.853,972,0.76,270.96,36.558,0.166,20,4
20,565.84,458.43199999999996,38.398,2044,0.794,425.99699999999996,67.778,0.142,20,12
21,914.317,394.159,37.236,1189,0.695,348.70099999999996,40.656,0.12300000000000001,21,6
21,684.643,273.457,32.586999999999996,897,0.6859999999999999,272.96,35.048,0.151,21,4
21,552.549,457.727,29.66,1670,0.685,429.311,71.69,0.114,21,12
22,686.9169999999999,274.517,31.19,926,0.737,273.789,37.801,0.155,22,4
22,913.558,391.66900000000004,35.798,1159,0.733,311.73,41.223,0.15,22,6
22,554.367,459.129,36.285,1723,0.773,366.985,60.46,0.161,22,12
23,913.873,392.455,38.191,1172,0.7240000000000001,349.42800000000005,39.073,0.121,23,6
23,686.31,273.846,31.386999999999997,925,0.7440000000000001,242.09,37.524,0.198,23,4
23,571.069,455.849,29.807,1911,0.726,496.32300000000004,81.632,0.09699999999999999,23,12
24,910.41,391.04,35.281,1124,0.746,259.30400000000003,40.563,0.21,24,6
24,685.465,272.363,32.834,918,0.742,284.617,35.598,0.142,24,4
24,573.502,457.108,31.743000000000002,1954,0.731,526.992,78.377,0.08800000000000001,24,12
25,686.331,272.998,31.558000000000003,903,0.728,233.84799999999998,36.431999999999995,0.20800000000000002,25,4
25,912.971,390.60400000000004,36.963,1166,0.743,319.144,40.164,0.14400000000000002,25,6
25,556.92,453.916,30.4,1505,0.685,393.81300000000005,63.034,0.122,25,12
26,914.415,391.82099999999997,37.466,1164,0.743,305.345,39.556999999999995,0.157,26,6
26,686.127,274.28,32.959,913,0.754,281.688,35.27,0.145,26,4
26,540.221,454.051,24.51,1340,0.491,569.034,69.611,0.052000000000000005,26,12
27,913.9910000000001,391.038,37.234,1136,0.726,253.06099999999998,38.846,0.223,27,6
27,684.0169999999999,272.702,31.268,862,0.736,202.392,35.1,0.264,27,4
27,537.107,454.18,22.397,1169,0.526,486.566,66.455,0.062,27,12
28,913.765,389.78,35.878,1119,0.708,321.63,39.711,0.136,28,6
28,683.182,272.031,32.391,855,0.765,223.94799999999998,33.608000000000004,0.214,28,4
28,547.206,452.68199999999996,36.049,1601,0.722,386.056,56.547,0.135,28,12
29,912.408,388.371,35.427,1136,0.747,307.83099999999996,40.828,0.151,29,6
29,680.078,269.659,30.038,848,0.742,243.84799999999998,35.945,0.179,29,4
29,569.059,449.985,24.453000000000003,1742,0.605,510.80800000000005,90.705,0.084,29,12
30,912.2080000000001,387.89300000000003,36.226,1158,0.7120000000000001,329.73,40.701,0.134,30,6
30,682.789,271.04200000000003,31.285999999999998,821,0.773,204.53400000000002,33.412,0.247,30,4
30,557.047,451.26599999999996,34.769,1717,0.743,409.51199999999994,62.876999999999995,0.129,30,12
31,915.0239999999999,388.168,36.602,1160,0.765,277.546,40.352,0.18899999999999997,31,6
31,686.5889999999999,271.497,30.761999999999997,928,0.7190000000000001,291.103,38.411,0.138,31,4
31,542.558,453.69699999999995,23.096,1408,0.604,470.909,77.62100000000001,0.08,31,12
32,915.324,386.75699999999995,36.93,1128,0.7440000000000001,314.902,38.89,0.14300000000000002,32,6
32,683.799,270.737,32.869,886,0.755,244.09,34.321,0.187,32,4
32,533.447,455.05400000000003,22.936,1625,0.625,568.205,90.20700000000001,0.063,32,12
33,915.699,386.455,36.885,1144,0.74,280.032,39.489000000000004,0.183,33,6
33,683.805,269.858,32.479,857,0.755,227.262,33.596,0.209,33,4
33,546.444,452.309,33.08,1704,0.7440000000000001,432.48199999999997,65.586,0.114,33,12
34,914.925,384.9,36.027,1150,0.69,329.63,40.641999999999996,0.133,34,6
34,687.1060000000001,270.668,28.741999999999997,863,0.757,250.333,38.23,0.17300000000000001,34,4
34,576.403,450.45099999999996,27.215999999999998,2088,0.6559999999999999,581.619,97.68299999999999,0.078,34,12
35,915.6389999999999,385.93,36.173,1134,0.7290000000000001,287.688,39.915,0.172,35,6
