frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1,854.7689999999999,612.6659999999999,73.54,982,0.759,294.517,35.758,0.142,1,6
1,794.961,716.92,171.674,883,0.75,271.889,36.11,0.15,1,10
1,801.6569999999999,329.311,74.745,1061,0.7509999999999999,262.718,37.613,0.193,1,17
2,856.2239999999999,612.888,105.945,919,0.731,270.96,35.196,0.157,2,6
2,804.2669999999999,328.18800000000005,145.222,996,0.78,236.333,37.024,0.22399999999999998,2,17
2,796.248,722.204,35.538000000000004,848,0.7090000000000001,220.19099999999997,35.51,0.22,2,10
3,858.76,611.128,106.46,962,0.747,268.96,38.189,0.16699999999999998,3,6
3,807.961,325.91900000000004,116.00299999999999,1047,0.733,287.103,36.606,0.16,3,17
3,797.75,722.57,39.289,897,0.76,245.99,36.352,0.18600000000000003,3,10
4,860.3689999999999,610.679,74.407,936,0.763,251.747,38.535,0.18600000000000003,4,6
4,807.113,325.256,98.84200000000001,1024,0.7659999999999999,228.53400000000002,36.71,0.24600000000000002,4,17
4,798.834,715.329,123.311,933,0.731,258.475,36.757,0.175,4,10
5,804.6410000000001,325.79,107.281,1055,0.775,233.84799999999998,39.223,0.242,5,17
5,859.158,609.573,114.775,904,0.725,251.019,34.758,0.18,5,6
5,797.954,716.7189999999999,13.707,874,0.726,249.505,34.64,0.17600000000000002,5,10
6,858.82,609.5740000000001,110.225,896,0.778,236.676,34.649,0.201,6,6
6,805.451,325.468,100.081,1056,0.76,266.032,38.285,0.188,6,17
6,798.143,714.695,33.311,886,0.725,248.81799999999998,34.772,0.18,6,10
7,858.2360000000001,609.555,159.905,922,0.765,227.362,35.878,0.22399999999999998,7,6
7,805.992,326.656,153.435,1047,0.732,311.002,38.239000000000004,0.136,7,17
7,799.687,714.01,52.651,913,0.6970000000000001,277.789,37.032,0.149,7,10
7,588.757,518.428,42.708999999999996,540,0.688,198.291,29.756999999999998,0.17300000000000001,7,116
8,862.1560000000001,607.303,112.714,963,0.6970000000000001,302.073,38.047,0.133,8,6
8,807.4630000000001,324.616,145.954,1037,0.757,255.99,37.413000000000004,0.19899999999999998,8,17
8,801.778,715.096,39.289,888,0.762,242.333,34.951,0.19,8,10
8,591.061,518.646,36.529,549,0.732,190.49200000000002,29.439,0.19,8,116
9,802.6160000000001,713.312,22.521,932,0.726,246.233,35.575,0.193,9,10
9,860.193,608.063,139.686,926,0.735,286.617,35.964,0.142,9,6
