frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
32,582.706,500.49800000000005,34.215,2583,0.7090000000000001,638.087,96.12100000000001,0.08,32,1
33,695.205,643.911,36.004,1112,0.7809999999999999,244.919,39.324,0.233,33,5
33,578.279,499.01300000000003,36.955999999999996,2454,0.7559999999999999,475.009,84.54799999999999,0.13699999999999998,33,1
34,696.385,644.174,36.034,1090,0.736,300.073,38.515,0.152,34,5
34,557.6759999999999,490.49300000000005,39.138000000000005,2222,0.763,421.16900000000004,72.28699999999999,0.157,34,1
35,696.607,642.941,34.381,1093,0.727,308.073,40.478,0.145,35,5
35,546.797,486.68800000000005,38.766999999999996,2266,0.767,518.95,74.423,0.106,35,1
36,540.854,484.941,38.548,2326,0.763,510.465,76.828,0.11199999999999999,36,1
36,697.154,642.582,36.491,1141,0.718,333.286,39.811,0.129,36,5
37,699.186,642.945,35.658,1169,0.726,314.659,41.742,0.14800000000000002,37,5
37,562.061,489.404,39.28,2327,0.775,475.45300000000003,75.428,0.129,37,1
38,699.52,642.403,35.105,1129,0.723,331.973,40.948,0.129,38,5
38,591.535,499.125,36.419000000000004,2733,0.752,567.82,95.54700000000001,0.107,38,1
39,589.894,499.56,38.464,2492,0.772,480.524,82.49,0.136,39,1
39,698.0989999999999,643.11,36.133,1136,0.736,303.44599999999997,40.03,0.155,39,5
40,697.3739999999999,642.7909999999999,34.917,1102,0.7709999999999999,253.40400000000002,40.184,0.21600000000000003,40,5
40,579.2819999999999,492.546,42.693999999999996,2310,0.769,493.495,68.89,0.11900000000000001,40,1
41,698.44,641.563,33.924,1092,0.738,284.617,40.985,0.16899999999999998,41,5
41,572.373,489.88699999999994,41.778999999999996,2173,0.773,429.311,66.223,0.14800000000000002,41,1
42,697.9960000000001,641.68,35.131,1134,0.755,263.789,41.099,0.205,42,5
42,563.357,486.371,41.183,2224,0.745,467.25199999999995,68.759,0.128,42,1
43,698.4580000000001,640.948,35.049,1106,0.752,256.718,40.178000000000004,0.21100000000000002,43,5
43,554.913,483.791,37.852,2244,0.7809999999999999,470.968,75.483,0.127,43,1
44,698.423,641.286,35.711,1128,0.772,293.002,40.218,0.165,44,5
44,557.691,484.165,39.830999999999996,2248,0.7979999999999999,428.48199999999997,71.859,0.154,44,1
45,699.429,640.9019999999999,35.255,1076,0.747,290.517,38.86,0.16,45,5
45,559.558,485.68199999999996,41.299,2121,0.7759999999999999,446.825,65.39,0.133,45,1
46,699.9789999999999,641.69,35.775999999999996,1072,0.7140000000000001,310.517,38.150999999999996,0.14,46,5
46,564.28,486.435,45.093999999999994,2062,0.767,423.51199999999994,58.221000000000004,0.14400000000000002,46,1
47,566.815,487.708,43.019,2009,0.7959999999999999,387.37,59.46,0.168,47,1
47,700.442,641.678,33.416,1047,0.768,278.032,39.894,0.17,47,5
48,700.9069999999999,641.01,34.15,1027,0.723,271.546,38.29,0.175,48,5
48,567.661,487.27099999999996,44.068000000000005,2023,0.785,379.914,58.45,0.17600000000000002,48,1
49,701.622,642.388,35.154,1103,0.733,310.17400000000004,39.95,0.14400000000000002,49,5
49,564.685,488.906,43.708,2037,0.762,420.583,59.339,0.145,49,1
50,698.357,641.376,34.268,1053,0.7340000000000001,308.558,39.124,0.139,50,5
50,566.9119999999999,490.181,44.614,2069,0.812,361.227,59.047,0.19899999999999998,50,1
51,696.43,640.36,34.645,1025,0.775,246.919,37.669000000000004,0.21100000000000002,51,5
51,566.803,489.17199999999997,44.215,1984,0.787,387.713,57.132,0.166,51,1
52,697.9,640.068,33.592,1041,0.8029999999999999,246.576,39.457,0.215,52,5
52,569.827,489.225,42.19,1998,0.78,375.713,60.297,0.17800000000000002,52,1
53,565.137,487.809,46.20399999999999,2055,0.778,388.19800000000004,56.629,0.171,53,1
53,700.581,639.746,34.804,1057,0.74,288.517,38.668,0.16,53,5
54,697.8689999999999,639.268,36.359,1110,0.688,314.801,38.871,0.141,54,5
54,563.0930000000001,485.46,45.291000000000004,2168,0.7809999999999999,463.352,60.948,0.127,54,1
55,699.815,639.612,34.553000000000004,1082,0.757,273.688,39.87,0.182,55,5
55,564.9069999999999,485.65,46.283,2140,0.8029999999999999,408.098,58.871,0.161,55,1
56,698.013,639.163,34.949,1062,0.759,271.546,38.69,0.18100000000000002,56,5
56,563.604,486.477,47.066,2054,0.787,406.926,55.566,0.156,56,1
57,699.0,639.028,35.044000000000004,1046,0.7490000000000001,264.375,38.003,0.188,57,5
57,562.168,486.787,45.301,2019,0.7909999999999999,371.713,56.746,0.184,57,1
58,563.5319999999999,488.657,46.153999999999996,1992,0.8,379.57099999999997,54.953,0.174,58,1
58,698.512,639.144,34.275999999999996,1015,0.775,257.061,37.704,0.193,58,5
59,566.7130000000001,487.875,45.382,2034,0.7909999999999999,417.51199999999994,57.067,0.147,59,1
59,698.069,636.9,33.373000000000005,1013,0.762,271.546,38.648,0.17300000000000001,59,5
60,565.106,488.087,47.345,2027,0.767,414.68300000000005,54.512,0.14800000000000002,60,1
60,699.227,638.467,33.736999999999995,1022,0.746,258.818,38.57,0.192,60,5
61,563.823,487.29400000000004,46.42,1998,0.768,416.24,54.802,0.145,61,1
61,700.3510000000001,638.576,34.233000000000004,1028,0.731,273.203,38.235,0.17300000000000001,61,5
62,700.5369999999999,637.299,34.522,1059,0.732,317.487,39.058,0.132,62,5
62,564.78,486.336,46.125,1999,0.763,431.16900000000004,55.18,0.135,62,1
63,699.305,637.934,33.937,1034,0.7559999999999999,245.304,38.793,0.21600000000000003,63,5
63,565.183,487.358,46.076,2009,0.795,405.754,55.516000000000005,0.153,63,1
64,565.135,487.77099999999996,45.795,1965,0.794,378.884,54.633,0.172,64,1
64,700.4960000000001,637.0269999999999,33.698,1026,0.732,291.83099999999996,38.766,0.151,64,5
65,699.9689999999999,636.2909999999999,32.765,995,0.759,262.233,38.665,0.182,65,5
65,565.311,486.82199999999995,46.511,1954,0.785,350.843,53.49,0.19899999999999998,65,1
66,698.916,636.534,33.358000000000004,975,0.7559999999999999,246.233,37.214,0.20199999999999999,66,5
66,564.911,486.019,47.582,2040,0.738,457.21,54.588,0.12300000000000001,66,1
67,700.967,636.125,32.51,976,0.754,243.16099999999997,38.225,0.207,67,5
67,565.313,486.056,46.593,1967,0.755,421.51199999999994,53.751999999999995,0.139,67,1
68,699.556,635.918,34.603,1043,0.77,267.30400000000003,38.378,0.183,68,5
68,563.895,487.216,48.268,2075,0.757,485.838,54.735,0.11,68,1
